x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
21,77,48,109,29,101,62,99,40,71,77,21,41,89,17.9 km/h,2025:01:29_14:15,2025:01:29_14:20,290s,1.0,0.0,0.0,10.0
21,77,48,109,29,101,62,99,40,71,77,21,41,89,17.5 km/h,,,,,,,
25,83,46,105,34,100,58,96,38,75,75,38,41,89,17.5 km/h,,,,,,,
23,76,48,109,29,101,62,99,39,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,49,109,30,102,61,100,37,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,47,109,29,101,61,100,40,71,76,23,41,89,17.5 km/h,,,,,,,
22,77,48,109,29,101,62,99,40,71,77,22,42,89,17.5 km/h,,,,,,,
23,76,49,109,30,102,63,99,39,71,76,23,42,89,17.5 km/h,,,,,,,
25,82,47,105,34,100,57,98,39,75,75,39,42,89,17.5 km/h,,,,,,,
21,77,49,108,30,102,62,100,39,71,77,21,41,89,17.5 km/h,,,,,,,
23,76,49,108,30,102,62,98,40,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,48,109,30,102,62,99,40,71,76,23,41,89,17.5 km/h,,,,,,,
23,77,49,109,30,102,62,99,39,71,77,23,42,89,17.5 km/h,,,,,,,
27,79,46,105,34,100,57,97,39,75,79,27,41,89,17.5 km/h,,,,,,,
23,76,48,109,29,101,63,98,40,71,76,23,42,89,17.5 km/h,,,,,,,
22,77,48,109,29,101,62,100,40,71,77,22,42,89,17.5 km/h,,,,,,,
23,76,48,109,30,102,63,98,40,71,76,23,41,89,17.5 km/h,,,,,,,
19,77,48,109,29,101,62,100,39,71,77,19,42,89,17.5 km/h,,,,,,,
23,76,49,108,30,102,63,98,40,71,76,23,42,89,17.5 km/h,,,,,,,
21,77,49,108,32,103,63,97,40,71,77,21,42,89,17.5 km/h,,,,,,,
22,77,49,108,30,102,62,99,40,71,77,22,42,89,17.5 km/h,,,,,,,
21,77,49,108,29,101,62,98,39,71,77,21,41,89,17.5 km/h,,,,,,,
20,78,48,109,28,100,62,98,40,71,78,20,41,89,17.5 km/h,,,,,,,
22,77,48,109,29,101,62,99,40,71,77,22,41,89,17.5 km/h,,,,,,,
22,77,48,108,30,102,62,98,39,71,77,22,41,89,17.5 km/h,,,,,,,
21,77,48,109,31,102,63,98,39,71,77,21,42,89,17.5 km/h,,,,,,,
22,76,49,108,30,102,61,100,39,71,76,22,41,89,17.5 km/h,,,,,,,
27,79,47,105,34,100,58,96,39,75,79,27,41,89,17.5 km/h,,,,,,,
21,77,50,108,30,102,62,98,39,71,77,21,41,89,17.5 km/h,,,,,,,
21,77,47,109,30,102,61,100,39,71,77,21,41,89,17.5 km/h,,,,,,,
22,77,49,109,30,102,62,99,39,71,77,22,42,89,17.5 km/h,,,,,,,
23,76,48,109,30,102,62,82,39,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,47,109,29,101,61,100,39,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,50,108,29,101,62,99,39,71,76,23,41,89,17.5 km/h,,,,,,,
24,76,48,109,29,101,61,100,39,71,76,24,42,89,17.5 km/h,,,,,,,
22,77,48,109,29,101,61,100,39,71,77,22,42,89,17.5 km/h,,,,,,,
27,79,46,105,34,100,57,97,39,75,79,27,41,89,17.5 km/h,,,,,,,
22,77,48,109,30,102,61,100,39,71,77,22,41,89,17.5 km/h,,,,,,,
23,76,49,108,29,101,62,98,39,71,76,23,41,89,17.5 km/h,,,,,,,
23,76,49,108,29,101,62,98,39,71,76,23,41,89,17.5 km/h,,,,,,,
26,80,46,105,34,100,57,97,35,76,80,26,40,89,17.5 km/h,,,,,,,
26,80,46,105,34,100,57,97,35,76,80,26,40,89,17.5 km/h,,,,,,,
26,80,46,105,34,100,57,97,35,76,80,26,41,89,17.5 km/h,,,,,,,
