x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
29,58,56,69,71,51,71,59,51,28,28,40,51,50,0 km/h,2025-02-14_01:44,2025-02-14_01:44,23s,30.0,0.0,0.0,0.0
29,58,56,69,71,51,71,59,51,28,28,40,51,50,0 km/h,,,,,,,
29,58,56,69,34,51,71,59,51,28,28,40,51,50,0 km/h,,,,,,,
29,58,56,69,71,50,71,59,50,28,28,40,51,49,0 km/h,,,,,,,
162,148,183,160,165,165,200,153,182,128,132,132,180,143,0 km/h,,,,,,,
30,59,54,70,71,50,72,58,50,28,28,38,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,179,129,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,50,72,58,50,28,28,38,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,200,153,179,129,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,51,72,58,51,28,28,38,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,200,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,58,54,70,71,51,72,58,51,28,28,38,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,58,54,70,71,51,72,58,51,28,28,38,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,49,72,58,49,29,29,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,52,72,56,52,28,28,39,51,49,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,51,72,58,51,28,28,38,51,49,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,53,70,71,51,72,56,51,28,28,38,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,70,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,69,71,49,72,58,49,29,29,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
30,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,53,70,71,49,72,58,49,29,29,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,53,70,71,51,72,56,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,69,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,53,70,71,50,72,58,50,29,29,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,69,71,50,72,58,50,29,29,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,50,72,58,50,29,29,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,183,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,49,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,55,69,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,181,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,69,71,51,72,58,51,28,28,39,51,50,0 km/h,,,,,,,
162,148,182,160,194,163,199,153,180,128,134,133,180,143,0 km/h,,,,,,,
29,59,54,69,71,49,72,58,49,29,29,39,51,49,0 km/h,,,,,,,
162,148,173,157,163,163,200,154,180,128,134,134,180,143,0 km/h,,,,,,,
30,56,52,70,71,59,72,38,54,29,29,42,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
23,64,54,76,77,62,77,38,52,20,20,52,50,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,46,71,59,46,29,29,37,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,54,71,59,54,29,29,37,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
33,56,54,66,36,57,68,44,50,32,32,42,51,49,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
23,64,54,76,76,63,77,38,52,20,20,52,50,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,59,72,36,52,28,28,43,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,59,72,36,52,28,28,43,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,59,51,70,71,52,72,57,52,28,28,38,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
33,57,55,65,37,50,68,43,50,32,32,42,51,49,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,59,51,70,71,52,72,57,52,28,28,38,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,58,53,70,71,59,72,37,51,29,29,41,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,59,72,36,50,29,29,41,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,59,72,37,50,29,29,41,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,51,72,56,51,29,29,37,51,50,0 km/h,,,,,,,
162,148,181,160,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,51,72,56,51,29,29,37,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,51,70,72,53,72,57,53,28,28,36,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,59,72,36,51,29,29,42,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,59,72,37,51,29,29,42,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,51,70,71,53,71,59,53,28,28,38,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,70,60,71,37,51,29,29,42,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,199,153,180,128,134,134,180,143,0 km/h,,,,,,,
162,148,173,157,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
29,58,53,70,71,49,71,59,49,29,29,38,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,154,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,50,71,59,50,29,29,39,51,50,0 km/h,,,,,,,
162,148,173,157,163,163,200,154,180,128,134,134,180,143,0 km/h,,,,,,,
30,60,53,70,71,51,72,58,51,29,29,39,51,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,153,181,128,136,133,180,143,0 km/h,,,,,,,
162,148,173,157,163,163,199,155,181,128,134,134,180,143,0 km/h,,,,,,,
23,64,54,76,26,62,77,38,48,23,23,39,50,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,152,181,128,136,133,180,143,0 km/h,,,,,,,
23,64,53,76,76,51,78,61,51,22,22,36,50,50,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
23,64,54,76,76,52,78,61,52,22,22,36,50,50,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,180,128,134,134,180,143,0 km/h,,,,,,,
23,61,50,76,76,54,78,61,54,21,21,36,50,50,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,179,129,134,134,180,143,0 km/h,,,,,,,
23,59,51,76,76,54,78,61,54,21,21,36,50,50,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,179,129,134,134,180,143,0 km/h,,,,,,,
30,59,53,70,70,50,72,56,50,28,28,39,51,50,0 km/h,,,,,,,
162,148,182,160,165,165,200,153,182,128,132,132,180,143,0 km/h,,,,,,,
30,59,55,69,71,51,72,58,51,28,28,38,51,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,153,179,129,136,133,180,143,0 km/h,,,,,,,
30,60,54,70,71,51,72,58,51,28,28,38,51,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,153,179,129,136,133,180,143,0 km/h,,,,,,,
30,60,52,70,71,51,72,56,51,28,28,38,51,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,153,179,129,136,133,180,143,0 km/h,,,,,,,
23,64,52,76,27,65,76,36,51,22,22,39,50,50,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,179,129,134,134,180,143,0 km/h,,,,,,,
162,148,182,160,163,163,200,153,179,129,134,134,180,143,0 km/h,,,,,,,
23,64,52,76,27,63,78,40,49,23,23,39,50,50,0 km/h,,,,,,,
162,136,182,160,194,162,200,153,179,129,136,133,180,143,0 km/h,,,,,,,
23,64,52,76,25,61,78,40,48,23,23,42,50,50,0 km/h,,,,,,,
