x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,73,40,76,49,57,24,30,29,57,38,0 km/h
39,43,50,52,71,40,77,48,57,24,30,28,57,38,0 km/h
39,43,50,52,71,40,77,48,57,24,30,28,57,38,0 km/h
39,43,50,52,71,40,77,48,57,24,30,28,57,38,0 km/h
39,43,50,52,71,40,77,48,57,24,30,28,57,38,0 km/h
