x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
35,635,57,646,63,624,67,637,50,618,618,50,51,633,0 km/h,2025-02-14_01:34,2025-02-14_01:34,18s,30.0,0.0,0.0,0.0
419,374,465,388,454,432,477,366,432,339,339,340,445,364,0 km/h,,,,,,,
37,632,47,648,61,644,67,636,54,618,618,54,52,633,0 km/h,,,,,,,
420,374,464,389,437,432,478,365,432,340,340,387,445,364,0 km/h,,,,,,,
35,634,54,648,36,644,67,630,48,618,618,48,51,633,0 km/h,,,,,,,
34,635,53,648,38,644,68,632,46,618,618,46,51,633,0 km/h,,,,,,,
