x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
42,62,65,95,47,88,80,84,57,57,62,42,59,75,4.1 km/h,2025:01:28_01:16,2025:01:28_01:17,85s,1.0,0.0,0.0,0.0
43,70,65,91,51,86,76,82,55,61,61,86,59,75,4.1 km/h,,,,,,,
40,63,66,95,48,88,80,84,58,58,63,40,59,75,4.1 km/h,,,,,,,
43,68,64,91,48,83,76,82,53,62,68,43,59,75,4.1 km/h,,,,,,,
38,63,65,95,47,88,79,85,59,58,63,38,59,75,4.1 km/h,,,,,,,
40,63,67,94,48,88,80,84,56,57,63,40,59,75,4.1 km/h,,,,,,,
39,64,65,95,48,88,79,84,55,57,64,39,59,75,4.1 km/h,,,,,,,
40,63,65,95,51,90,79,85,58,58,63,40,59,75,4.1 km/h,,,,,,,
41,63,65,95,48,88,80,84,58,57,63,41,59,75,4.1 km/h,,,,,,,
39,66,65,95,76,85,80,82,57,53,53,67,59,75,4.1 km/h,,,,,,,
41,62,66,94,49,89,79,85,59,57,62,41,59,75,4.1 km/h,,,,,,,
42,62,66,95,48,88,79,85,55,57,62,42,59,75,4.1 km/h,,,,,,,
39,67,66,95,50,89,79,85,55,57,67,39,59,75,4.1 km/h,,,,,,,
41,63,65,95,48,88,79,85,59,58,63,41,59,75,4.1 km/h,,,,,,,
42,68,62,91,72,70,76,82,60,62,68,42,59,75,4.1 km/h,,,,,,,
