x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
35,46,43,70,61,77,74,68,68,48,52,40,54,58,9.5 km/h,2025:01:26_15:17,2025:01:26_15:17,25s,1.0,0.0,0.0,2.0
39,47,53,43,69,54,70,66,59,74,47,69,54,57,9.5 km/h,,,,,,,
37,45,43,70,61,77,75,66,70,50,52,40,54,58,9.5 km/h,,,,,,,
35,46,43,70,60,77,75,66,68,48,52,40,54,58,9.5 km/h,,,,,,,
37,45,43,70,61,77,74,68,66,47,54,41,54,58,9.5 km/h,,,,,,,
52,43,66,50,70,66,60,74,47,69,37,50,54,58,9.5 km/h,,,,,,,
38,49,48,44,63,48,71,66,60,74,47,69,54,58,9.5 km/h,,,,,,,
52,43,63,48,71,64,59,74,47,69,37,50,54,57,9.5 km/h,,,,,,,
37,45,43,70,61,76,74,67,68,48,52,40,54,58,9.5 km/h,,,,,,,
37,45,43,70,61,77,74,67,68,48,52,40,54,58,9.5 km/h,,,,,,,
36,46,43,70,60,77,75,66,68,48,54,41,54,58,9.5 km/h,,,,,,,
51,43,65,49,71,65,59,74,47,69,37,50,54,57,9.5 km/h,,,,,,,
36,46,43,70,61,77,74,68,68,48,52,40,54,58,9.5 km/h,,,,,,,
37,49,55,44,68,52,71,65,57,74,42,64,54,57,9.5 km/h,,,,,,,
38,50,55,44,68,52,72,65,58,74,42,64,54,58,9.5 km/h,,,,,,,
35,46,43,70,60,77,73,68,68,48,52,40,54,58,9.5 km/h,,,,,,,
37,45,43,70,61,77,74,68,68,48,54,41,54,58,9.5 km/h,,,,,,,
37,45,43,70,59,77,74,67,68,48,54,41,54,58,9.5 km/h,,,,,,,
37,45,43,70,61,77,74,68,68,48,54,41,54,58,9.5 km/h,,,,,,,
35,46,43,70,60,77,74,67,68,48,54,41,54,58,9.5 km/h,,,,,,,
35,46,43,70,61,77,75,66,68,48,54,41,54,58,9.5 km/h,,,,,,,
35,46,43,70,60,77,73,68,68,48,54,41,54,58,9.5 km/h,,,,,,,
35,46,43,70,61,77,75,66,68,48,54,41,54,58,9.5 km/h,,,,,,,
39,47,52,43,65,49,70,66,59,74,47,69,54,57,9.5 km/h,,,,,,,
35,46,43,70,61,77,73,68,68,48,52,40,54,58,9.5 km/h,,,,,,,
