"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(21, 21)","(47, 18)","(56, 25)","(56, 42)","(37, 47)","(24, 41)","(38, 31)",6.3 km/h,2025:01:26_11:12,2025:01:26_11:18,356s,1.0,0.0,0.0,0.0
"(21, 21)","(45, 17)","(56, 25)","(57, 41)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(43, 16)","(56, 25)","(57, 41)","(39, 47)","(24, 41)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(47, 18)","(57, 27)","(56, 42)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(40, 15)","(56, 25)","(57, 40)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(47, 18)","(56, 24)","(57, 41)","(37, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(36, 16)","(52, 21)","(56, 42)","(39, 47)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(47, 18)","(57, 27)","(56, 42)","(39, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(57, 41)","(39, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(57, 41)","(37, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(32, 45)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(40, 15)","(54, 22)","(56, 42)","(29, 44)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(40, 15)","(54, 22)","(56, 42)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(36, 16)","(52, 21)","(57, 41)","(39, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(19, 41)","(34, 49)","(58, 46)","(56, 19)","(41, 13)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 40)","(34, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(45, 17)","(56, 25)","(57, 41)","(39, 47)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(43, 16)","(56, 25)","(57, 41)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(34, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(57, 41)","(39, 47)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(20, 42)","(34, 49)","(60, 44)","(56, 19)","(39, 12)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(57, 41)","(41, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(57, 41)","(41, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(22, 43)","(34, 49)","(59, 44)","(57, 19)","(41, 13)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(47, 18)","(57, 27)","(56, 42)","(31, 45)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(51, 20)","(56, 42)","(35, 46)","(24, 41)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(44, 17)","(55, 24)","(57, 41)","(31, 45)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(18, 18)","(20, 42)","(34, 49)","(59, 45)","(56, 19)","(38, 12)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 40)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(56, 25)","(57, 41)","(39, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(17, 38)","(34, 49)","(59, 44)","(56, 19)","(41, 12)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 17)","(20, 42)","(35, 49)","(59, 45)","(57, 19)","(40, 12)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(52, 21)","(56, 42)","(35, 46)","(23, 40)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(36, 47)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(18, 18)","(21, 42)","(34, 49)","(60, 43)","(56, 19)","(40, 12)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(45, 17)","(55, 24)","(57, 41)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(36, 47)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 40)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(43, 16)","(54, 22)","(56, 42)","(37, 47)","(23, 40)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(37, 15)","(53, 21)","(57, 40)","(39, 46)","(20, 36)","(38, 30)",6.3 km/h,,,,,,,
"(20, 22)","(41, 15)","(55, 23)","(57, 40)","(35, 46)","(21, 38)","(38, 30)",6.3 km/h,,,,,,,
"(19, 18)","(22, 43)","(35, 49)","(59, 45)","(56, 19)","(41, 12)","(38, 30)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 40)","(32, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(41, 16)","(56, 25)","(57, 40)","(33, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(37, 15)","(51, 20)","(57, 40)","(30, 44)","(20, 36)","(38, 30)",6.3 km/h,,,,,,,
"(21, 21)","(36, 16)","(52, 21)","(56, 42)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(18, 39)","(30, 48)","(60, 44)","(56, 20)","(42, 13)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(44, 17)","(56, 25)","(57, 41)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(41, 16)","(56, 25)","(57, 41)","(39, 47)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(20, 22)","(43, 16)","(56, 25)","(57, 40)","(32, 45)","(21, 38)","(38, 30)",6.3 km/h,,,,,,,
"(18, 19)","(21, 43)","(39, 50)","(59, 44)","(57, 20)","(42, 13)","(38, 31)",6.3 km/h,,,,,,,
"(14, 26)","(19, 41)","(34, 49)","(59, 45)","(57, 19)","(36, 13)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(34, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(41, 16)","(55, 24)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(55, 24)","(57, 41)","(34, 46)","(20, 37)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(36, 47)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(36, 47)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 17)","(20, 42)","(34, 49)","(58, 46)","(56, 19)","(42, 13)","(38, 31)",6.3 km/h,,,,,,,
"(21, 22)","(36, 16)","(52, 21)","(57, 41)","(31, 45)","(20, 36)","(38, 31)",6.3 km/h,,,,,,,
"(21, 21)","(35, 16)","(57, 26)","(56, 42)","(35, 46)","(23, 40)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(18, 20)","(20, 42)","(36, 50)","(60, 44)","(57, 19)","(36, 13)","(38, 31)",6.3 km/h,,,,,,,
"(18, 19)","(17, 37)","(29, 47)","(59, 44)","(57, 19)","(40, 12)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 40)","(32, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 25)","(57, 41)","(34, 46)","(21, 38)","(38, 31)",6.3 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 24)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 25)","(57, 40)","(34, 46)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 24)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 24)","(57, 41)","(32, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(19, 19)","(21, 42)","(34, 49)","(59, 45)","(57, 20)","(39, 12)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 24)","(57, 41)","(32, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(21, 21)","(43, 16)","(56, 24)","(57, 41)","(39, 47)","(20, 36)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(43, 16)","(56, 24)","(57, 41)","(32, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
"(20, 23)","(42, 16)","(56, 24)","(57, 41)","(31, 45)","(21, 38)","(38, 31)",6.9 km/h,,,,,,,
