"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(34, 38)","(57, 31)","(70, 39)","(71, 55)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,2025:01:26_11:50,2025:01:26_11:51,40s,1.0,0.0,0.0,0.0
"(34, 38)","(57, 31)","(70, 39)","(71, 55)","(46, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(50, 31)","(67, 36)","(71, 56)","(53, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 39)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 39)","(71, 55)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(59, 32)","(70, 39)","(71, 56)","(52, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 39)","(71, 55)","(46, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 40)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(29, 40)","(32, 54)","(45, 63)","(74, 57)","(72, 36)","(54, 27)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 55)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 55)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 39)","(71, 56)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 40)","(71, 56)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(59, 32)","(70, 40)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 56)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(59, 32)","(70, 39)","(71, 56)","(46, 60)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(35, 37)","(61, 33)","(70, 39)","(71, 56)","(51, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(69, 38)","(71, 55)","(48, 61)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 40)","(71, 56)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(69, 38)","(71, 56)","(46, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(54, 30)","(69, 38)","(71, 55)","(51, 62)","(35, 53)","(34, 38)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 40)","(71, 55)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(53, 30)","(65, 35)","(71, 55)","(51, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 55)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 39)","(71, 56)","(46, 60)","(35, 53)","(52, 45)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 40)","(71, 55)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 37)","(57, 31)","(70, 39)","(71, 55)","(45, 59)","(34, 51)","(52, 45)",6.9 km/h,,,,,,,
"(32, 34)","(32, 54)","(43, 62)","(74, 59)","(72, 35)","(55, 27)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 39)","(71, 55)","(45, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(56, 31)","(70, 40)","(71, 56)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(53, 30)","(65, 35)","(71, 55)","(44, 59)","(34, 51)","(52, 45)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 39)","(71, 56)","(46, 60)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(34, 38)","(57, 31)","(70, 39)","(71, 55)","(48, 61)","(35, 53)","(52, 46)",6.9 km/h,,,,,,,
"(35, 36)","(57, 31)","(68, 37)","(71, 56)","(51, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
"(35, 37)","(50, 31)","(68, 37)","(71, 56)","(53, 62)","(34, 51)","(52, 46)",6.9 km/h,,,,,,,
