"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(29, 34)","(35, 59)","(52, 66)","(66, 55)","(61, 38)","(46, 30)","(46, 47)",8.9 km/h,2025:01:26_14:27,2025:01:26_14:27,41s,1.0,0.0,0.0,0.0
"(28, 34)","(35, 59)","(53, 66)","(65, 57)","(61, 38)","(44, 29)","(46, 47)",8.9 km/h,,,,,,,
"(31, 36)","(43, 32)","(55, 37)","(63, 53)","(51, 63)","(37, 57)","(46, 46)",8.9 km/h,,,,,,,
"(27, 35)","(35, 59)","(53, 66)","(65, 57)","(60, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(31, 36)","(44, 32)","(55, 37)","(63, 53)","(51, 63)","(37, 57)","(46, 46)",8.9 km/h,,,,,,,
"(28, 35)","(35, 59)","(53, 66)","(65, 57)","(60, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(28, 34)","(34, 59)","(51, 66)","(65, 56)","(59, 37)","(43, 29)","(45, 46)",8.9 km/h,,,,,,,
"(28, 35)","(35, 59)","(53, 66)","(66, 57)","(59, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(52, 65)","(65, 56)","(58, 36)","(43, 29)","(45, 46)",8.9 km/h,,,,,,,
"(29, 35)","(36, 60)","(54, 66)","(67, 56)","(63, 41)","(50, 32)","(46, 47)",8.9 km/h,,,,,,,
"(28, 39)","(46, 33)","(58, 40)","(62, 54)","(47, 62)","(34, 54)","(45, 46)",8.9 km/h,,,,,,,
"(29, 35)","(35, 59)","(54, 66)","(66, 57)","(61, 38)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(52, 65)","(65, 56)","(60, 37)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(30, 34)","(35, 59)","(54, 66)","(66, 57)","(61, 38)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(28, 34)","(35, 59)","(53, 65)","(66, 55)","(61, 39)","(40, 29)","(45, 46)",8.9 km/h,,,,,,,
"(30, 39)","(47, 33)","(60, 42)","(64, 54)","(49, 63)","(35, 55)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(52, 65)","(65, 55)","(58, 36)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(30, 34)","(35, 59)","(53, 66)","(66, 57)","(60, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(29, 38)","(47, 33)","(60, 42)","(62, 54)","(51, 62)","(34, 54)","(45, 46)",8.9 km/h,,,,,,,
"(31, 37)","(40, 33)","(55, 37)","(62, 56)","(52, 63)","(37, 57)","(46, 47)",8.9 km/h,,,,,,,
"(28, 34)","(35, 59)","(52, 66)","(66, 55)","(60, 37)","(44, 29)","(46, 46)",8.9 km/h,,,,,,,
"(29, 34)","(35, 59)","(53, 66)","(65, 57)","(61, 38)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(53, 65)","(65, 56)","(60, 37)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(29, 34)","(35, 59)","(52, 66)","(65, 57)","(58, 36)","(43, 29)","(46, 47)",8.9 km/h,,,,,,,
"(29, 38)","(47, 33)","(59, 40)","(63, 54)","(52, 62)","(34, 54)","(46, 46)",8.9 km/h,,,,,,,
"(29, 34)","(35, 59)","(53, 66)","(65, 57)","(60, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(28, 34)","(35, 59)","(53, 65)","(65, 56)","(58, 36)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(32, 36)","(42, 32)","(56, 38)","(63, 54)","(52, 63)","(37, 57)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(54, 65)","(66, 55)","(60, 37)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(28, 35)","(35, 59)","(53, 66)","(66, 57)","(59, 37)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(30, 36)","(44, 32)","(56, 38)","(62, 54)","(50, 63)","(37, 57)","(45, 46)",8.9 km/h,,,,,,,
"(29, 35)","(35, 59)","(53, 66)","(66, 57)","(61, 38)","(45, 30)","(46, 47)",8.9 km/h,,,,,,,
"(29, 37)","(39, 32)","(53, 36)","(62, 54)","(51, 62)","(37, 57)","(45, 46)",8.9 km/h,,,,,,,
"(27, 36)","(35, 59)","(54, 66)","(66, 57)","(62, 39)","(42, 30)","(47, 47)",8.9 km/h,,,,,,,
"(30, 36)","(44, 32)","(55, 37)","(62, 53)","(51, 62)","(37, 57)","(45, 46)",8.9 km/h,,,,,,,
"(32, 37)","(41, 33)","(55, 37)","(64, 54)","(53, 63)","(37, 57)","(47, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(52, 65)","(65, 55)","(54, 34)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
"(28, 35)","(35, 59)","(54, 66)","(67, 55)","(58, 36)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(44, 32)","(53, 36)","(62, 53)","(52, 62)","(37, 57)","(27, 39)","(45, 46)",8.9 km/h,,,,,,,
"(30, 34)","(35, 59)","(54, 66)","(66, 57)","(61, 38)","(46, 30)","(46, 47)",8.9 km/h,,,,,,,
"(27, 34)","(35, 59)","(52, 65)","(65, 55)","(60, 37)","(44, 29)","(45, 46)",8.9 km/h,,,,,,,
