"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(46, 37)","(61, 33)","(72, 39)","(77, 56)","(67, 63)","(52, 58)","(61, 47)",8.1 km/h,2025:01:26_14:10,2025:01:26_14:12,115s,1.0,0.0,0.0,0.0
"(41, 34)","(49, 59)","(66, 65)","(80, 54)","(68, 34)","(58, 29)","(59, 46)",8.1 km/h,,,,,,,
"(43, 35)","(49, 59)","(68, 66)","(80, 57)","(75, 38)","(60, 30)","(60, 47)",8.1 km/h,,,,,,,
"(42, 34)","(49, 59)","(67, 65)","(79, 56)","(73, 37)","(58, 29)","(59, 46)",8.1 km/h,,,,,,,
"(45, 37)","(58, 32)","(70, 38)","(77, 55)","(66, 63)","(51, 57)","(60, 47)",8.1 km/h,,,,,,,
"(42, 35)","(49, 59)","(66, 66)","(79, 57)","(75, 38)","(59, 30)","(60, 47)",8.1 km/h,,,,,,,
"(42, 35)","(49, 59)","(67, 66)","(79, 57)","(75, 38)","(60, 30)","(60, 47)",8.1 km/h,,,,,,,
"(42, 34)","(49, 59)","(67, 65)","(79, 56)","(75, 38)","(57, 29)","(59, 46)",8.1 km/h,,,,,,,
"(44, 38)","(60, 33)","(75, 43)","(78, 54)","(66, 63)","(52, 58)","(60, 47)",8.1 km/h,,,,,,,
"(45, 36)","(57, 32)","(70, 38)","(76, 55)","(65, 63)","(52, 58)","(60, 47)",8.1 km/h,,,,,,,
"(42, 34)","(48, 59)","(64, 66)","(79, 56)","(74, 37)","(57, 29)","(59, 46)",8.1 km/h,,,,,,,
"(57, 32)","(69, 37)","(77, 54)","(66, 63)","(51, 57)","(43, 39)","(60, 47)",8.1 km/h,,,,,,,
"(43, 34)","(49, 59)","(67, 66)","(80, 55)","(74, 37)","(60, 30)","(60, 47)",8.1 km/h,,,,,,,
"(42, 34)","(49, 59)","(67, 65)","(80, 55)","(75, 38)","(57, 29)","(59, 47)",8.1 km/h,,,,,,,
"(42, 35)","(49, 59)","(67, 66)","(79, 57)","(72, 36)","(59, 30)","(60, 47)",8.1 km/h,,,,,,,
"(45, 36)","(56, 32)","(70, 38)","(76, 55)","(65, 63)","(51, 57)","(60, 47)",8.1 km/h,,,,,,,
"(56, 32)","(70, 38)","(77, 54)","(65, 63)","(51, 57)","(43, 40)","(60, 47)",8.1 km/h,,,,,,,
"(45, 36)","(57, 32)","(69, 37)","(76, 55)","(65, 63)","(51, 57)","(60, 47)",8.1 km/h,,,,,,,
"(60, 33)","(70, 38)","(77, 54)","(66, 63)","(51, 57)","(43, 39)","(60, 47)",8.1 km/h,,,,,,,
"(45, 36)","(56, 32)","(70, 38)","(76, 55)","(65, 63)","(51, 57)","(60, 47)",8.1 km/h,,,,,,,
