"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(38, 37)","(51, 43)","(57, 60)","(46, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,2025:01:26_14:54,2025:01:26_14:57,171s,1.0,0.0,0.0,0.0
"(23, 39)","(30, 64)","(47, 71)","(61, 60)","(56, 43)","(38, 34)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(45, 71)","(61, 60)","(56, 44)","(45, 37)","(40, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(48, 70)","(61, 60)","(56, 44)","(45, 37)","(41, 52)",9.4 km/h,,,,,,,
"(38, 37)","(48, 41)","(58, 59)","(46, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,,,,,,,
"(38, 37)","(48, 41)","(58, 59)","(46, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,,,,,,,
"(38, 37)","(48, 41)","(58, 59)","(46, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(29, 64)","(47, 71)","(61, 60)","(53, 41)","(38, 34)","(40, 52)",9.4 km/h,,,,,,,
"(24, 39)","(30, 64)","(47, 71)","(60, 62)","(54, 42)","(40, 35)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(47, 70)","(61, 60)","(53, 41)","(38, 34)","(40, 51)",9.4 km/h,,,,,,,
"(36, 37)","(50, 42)","(58, 59)","(47, 68)","(32, 62)","(24, 44)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(47, 70)","(60, 61)","(54, 42)","(41, 35)","(40, 51)",9.4 km/h,,,,,,,
"(38, 37)","(48, 41)","(58, 59)","(46, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(29, 64)","(47, 70)","(60, 61)","(54, 42)","(38, 34)","(40, 51)",9.4 km/h,,,,,,,
"(23, 40)","(31, 65)","(48, 71)","(60, 62)","(54, 42)","(40, 35)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(29, 64)","(48, 70)","(60, 61)","(54, 42)","(39, 34)","(40, 51)",9.4 km/h,,,,,,,
"(24, 39)","(30, 64)","(48, 71)","(60, 62)","(56, 43)","(40, 35)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(29, 64)","(48, 70)","(59, 62)","(53, 41)","(38, 34)","(40, 51)",9.4 km/h,,,,,,,
"(24, 39)","(30, 64)","(48, 71)","(60, 62)","(54, 42)","(41, 35)","(41, 52)",9.4 km/h,,,,,,,
"(26, 41)","(38, 37)","(49, 42)","(58, 59)","(46, 68)","(32, 62)","(41, 52)",9.4 km/h,,,,,,,
"(26, 41)","(41, 38)","(51, 43)","(57, 60)","(46, 68)","(32, 62)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(47, 71)","(60, 62)","(54, 42)","(38, 34)","(40, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(48, 70)","(61, 60)","(56, 44)","(45, 37)","(41, 52)",9.4 km/h,,,,,,,
"(22, 40)","(30, 64)","(48, 71)","(60, 62)","(53, 41)","(40, 35)","(41, 52)",9.4 km/h,,,,,,,
"(22, 40)","(30, 64)","(48, 71)","(60, 62)","(53, 41)","(40, 35)","(41, 52)",9.4 km/h,,,,,,,
"(26, 41)","(38, 37)","(50, 42)","(57, 60)","(46, 68)","(32, 62)","(41, 52)",9.4 km/h,,,,,,,
"(26, 41)","(38, 37)","(51, 43)","(58, 59)","(46, 68)","(32, 62)","(41, 52)",9.4 km/h,,,,,,,
"(38, 37)","(51, 43)","(58, 59)","(47, 68)","(32, 62)","(24, 45)","(41, 52)",9.4 km/h,,,,,,,
"(23, 39)","(30, 64)","(48, 70)","(61, 60)","(53, 41)","(41, 35)","(41, 52)",9.4 km/h,,,,,,,
"(24, 39)","(30, 64)","(48, 71)","(60, 62)","(53, 41)","(41, 35)","(41, 52)",9.4 km/h,,,,,,,
"(38, 37)","(51, 43)","(57, 60)","(47, 68)","(32, 62)","(24, 44)","(41, 52)",9.4 km/h,,,,,,,
"(39, 37)","(51, 43)","(57, 60)","(46, 68)","(32, 62)","(24, 44)","(41, 52)",9.4 km/h,,,,,,,
"(24, 39)","(30, 64)","(46, 71)","(61, 60)","(54, 42)","(41, 35)","(41, 52)",9.4 km/h,,,,,,,
