"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(35, 84)","(41, 109)","(59, 115)","(72, 105)","(67, 88)","(52, 80)","(52, 97)",9.4 km/h,2025:01:26_14:57,2025:01:26_15:00,167s,1.0,0.0,0.0,0.0
"(33, 85)","(41, 109)","(58, 116)","(72, 105)","(67, 88)","(45, 80)","(52, 97)",9.4 km/h,,,,,,,
"(50, 82)","(62, 88)","(68, 105)","(57, 113)","(43, 107)","(35, 89)","(52, 97)",9.4 km/h,,,,,,,
"(50, 82)","(59, 86)","(69, 104)","(57, 113)","(43, 107)","(35, 89)","(52, 97)",9.4 km/h,,,,,,,
"(37, 86)","(50, 82)","(61, 87)","(69, 104)","(57, 113)","(43, 107)","(52, 97)",9.4 km/h,,,,,,,
"(34, 84)","(41, 109)","(59, 115)","(72, 105)","(64, 86)","(50, 79)","(52, 97)",9.4 km/h,,,,,,,
"(33, 85)","(41, 109)","(59, 115)","(72, 105)","(66, 87)","(51, 80)","(52, 97)",9.4 km/h,,,,,,,
"(34, 84)","(41, 109)","(59, 115)","(71, 106)","(66, 87)","(49, 79)","(52, 96)",9.4 km/h,,,,,,,
"(35, 84)","(41, 109)","(58, 116)","(71, 107)","(66, 87)","(51, 80)","(52, 97)",9.4 km/h,,,,,,,
"(37, 86)","(46, 82)","(59, 86)","(69, 103)","(56, 113)","(43, 107)","(52, 96)",9.4 km/h,,,,,,,
"(48, 82)","(66, 92)","(69, 104)","(58, 113)","(45, 108)","(35, 89)","(52, 97)",9.4 km/h,,,,,,,
"(48, 82)","(61, 87)","(69, 105)","(58, 113)","(43, 107)","(34, 90)","(52, 97)",9.4 km/h,,,,,,,
"(33, 84)","(41, 109)","(58, 115)","(71, 105)","(67, 89)","(56, 82)","(51, 96)",9.4 km/h,,,,,,,
"(35, 84)","(41, 109)","(59, 116)","(71, 107)","(65, 87)","(51, 80)","(52, 97)",9.4 km/h,,,,,,,
"(34, 84)","(41, 109)","(59, 116)","(71, 107)","(66, 87)","(52, 80)","(52, 97)",9.4 km/h,,,,,,,
"(34, 84)","(41, 109)","(59, 115)","(71, 106)","(65, 87)","(50, 79)","(51, 96)",9.4 km/h,,,,,,,
"(49, 82)","(59, 86)","(69, 104)","(58, 113)","(43, 107)","(35, 90)","(52, 97)",9.4 km/h,,,,,,,
