"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(36, 56)","(43, 81)","(61, 87)","(74, 77)","(70, 61)","(49, 51)","(54, 68)",9.7 km/h,2025:01:26_15:12,2025:01:26_15:15,180s,30.0,0.0,0.0,15.0
"(37, 56)","(43, 81)","(61, 88)","(75, 77)","(70, 61)","(50, 51)","(54, 69)",9.7 km/h,,,,,,,
"(39, 60)","(49, 55)","(65, 60)","(71, 78)","(61, 85)","(46, 79)","(55, 69)",9.7 km/h,,,,,,,
"(37, 57)","(44, 81)","(62, 88)","(76, 77)","(67, 58)","(54, 52)","(55, 69)",9.7 km/h,,,,,,,
"(39, 60)","(50, 55)","(65, 60)","(72, 77)","(61, 85)","(47, 80)","(55, 69)",9.7 km/h,,,,,,,
"(39, 60)","(49, 55)","(65, 60)","(71, 78)","(61, 85)","(47, 80)","(55, 69)",9.7 km/h,,,,,,,
"(37, 56)","(45, 82)","(61, 88)","(74, 78)","(67, 58)","(54, 52)","(54, 69)",9.7 km/h,,,,,,,
"(35, 57)","(45, 82)","(61, 88)","(74, 78)","(69, 59)","(54, 52)","(54, 69)",9.7 km/h,,,,,,,
"(39, 58)","(49, 54)","(69, 64)","(70, 77)","(61, 84)","(46, 79)","(54, 68)",9.7 km/h,,,,,,,
"(36, 56)","(44, 81)","(61, 87)","(73, 78)","(67, 58)","(52, 51)","(54, 68)",9.7 km/h,,,,,,,
"(36, 56)","(44, 81)","(61, 87)","(73, 78)","(67, 58)","(52, 51)","(54, 68)",9.7 km/h,,,,,,,
"(37, 56)","(44, 81)","(61, 88)","(75, 77)","(67, 58)","(54, 52)","(54, 69)",9.7 km/h,,,,,,,
"(36, 57)","(44, 81)","(62, 88)","(74, 79)","(67, 58)","(52, 51)","(55, 69)",9.7 km/h,,,,,,,
"(39, 60)","(50, 55)","(64, 59)","(71, 78)","(61, 85)","(46, 79)","(55, 69)",9.7 km/h,,,,,,,
"(37, 57)","(45, 82)","(62, 88)","(74, 80)","(70, 60)","(54, 52)","(55, 69)",9.7 km/h,,,,,,,
"(38, 57)","(45, 82)","(62, 88)","(74, 80)","(70, 60)","(54, 52)","(55, 69)",9.7 km/h,,,,,,,
