"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(28, 27)","(52, 21)","(64, 29)","(65, 45)","(39, 49)","(29, 42)","(46, 35)",5.8 km/h,2025:01:26_10:48,2025:01:26_10:49,19s,1.0,0.0,0.0,0.0
"(26, 23)","(28, 46)","(41, 53)","(68, 48)","(66, 25)","(49, 17)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(63, 28)","(65, 45)","(41, 50)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(41, 50)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(27, 23)","(28, 46)","(42, 53)","(68, 48)","(66, 25)","(50, 17)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(39, 49)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(39, 49)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(41, 50)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 44)","(41, 50)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 44)","(44, 51)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(39, 49)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
"(28, 27)","(50, 20)","(64, 29)","(65, 45)","(39, 49)","(29, 42)","(46, 35)",5.8 km/h,,,,,,,
