"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(115, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(90, 65)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(107, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 65)","(96, 90)","(114, 97)","(127, 88)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(91, 70)","(108, 64)","(121, 72)","(125, 85)","(110, 94)","(96, 85)","(108, 78)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(51, 58)",9.8 km/h
"(89, 66)","(96, 90)","(114, 97)","(128, 86)","(121, 68)","(107, 61)","(108, 78)",9.8 km/h
"(45, 38)","(28, 51)","(38, 72)","(58, 80)","(73, 68)","(71, 52)","(51, 58)",9.8 km/h
