"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(18, 23)","(42, 17)","(54, 25)","(55, 40)","(32, 46)","(19, 38)","(36, 31)",2025:01:26_10:40,2025:01:26_10:43,140s,30.0,0.0,0.0,0.0
"(18, 23)","(42, 17)","(54, 25)","(55, 40)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(42, 17)","(54, 25)","(55, 41)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(42, 17)","(53, 24)","(55, 41)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(16, 19)","(20, 43)","(32, 49)","(57, 44)","(54, 20)","(40, 13)","(36, 31)",,,,,,,
"(16, 19)","(20, 43)","(32, 49)","(57, 44)","(54, 20)","(41, 13)","(36, 31)",,,,,,,
"(16, 19)","(20, 43)","(32, 49)","(57, 44)","(54, 20)","(41, 13)","(36, 31)",,,,,,,
"(18, 23)","(42, 17)","(53, 24)","(55, 41)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(42, 17)","(53, 24)","(55, 41)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(42, 17)","(53, 24)","(55, 41)","(32, 46)","(19, 38)","(36, 31)",,,,,,,
"(16, 19)","(18, 42)","(32, 49)","(57, 44)","(54, 20)","(40, 13)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
"(18, 23)","(40, 16)","(53, 24)","(55, 41)","(29, 45)","(19, 38)","(36, 31)",,,,,,,
