"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(24, 21)","(23, 46)","(39, 54)","(63, 48)","(60, 24)","(44, 17)","(42, 35)",2025:01:26_10:17,2025:01:26_10:40,1363s,1.0,0.0,0.0,0.0
"(24, 27)","(45, 20)","(60, 30)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 30)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 30)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(60, 45)","(35, 50)","(24, 41)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(60, 45)","(35, 50)","(24, 41)","(42, 35)",,,,,,,
"(24, 27)","(47, 21)","(60, 29)","(61, 45)","(36, 50)","(24, 41)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(59, 28)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(59, 28)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(60, 30)","(61, 45)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(59, 28)","(61, 45)","(36, 50)","(24, 41)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(60, 29)","(61, 44)","(36, 50)","(25, 43)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(60, 29)","(61, 45)","(36, 50)","(24, 41)","(42, 35)",,,,,,,
"(24, 27)","(45, 20)","(60, 29)","(61, 44)","(36, 50)","(24, 41)","(42, 35)",,,,,,,
