x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
43,38,55,44,62,60,50,69,36,63,28,45,45,53,9.7 km/h,2025:01:26_15:01,2025:01:26_15:04,183s,1.0,0.0,0.0,9.0
43,38,55,44,61,61,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
41,38,52,42,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
30,42,42,38,55,44,61,61,50,69,36,63,45,52,9.7 km/h,,,,,,,
28,40,35,66,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
30,42,43,38,55,44,61,61,50,69,37,64,45,53,9.7 km/h,,,,,,,
40,38,55,44,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
42,38,55,44,61,61,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
43,38,54,43,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
28,40,34,65,50,72,65,61,61,46,42,35,45,53,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,58,43,42,35,45,53,9.7 km/h,,,,,,,
27,40,34,65,49,72,65,61,60,44,45,36,45,53,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
42,38,55,44,61,61,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
43,38,52,42,62,60,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
28,40,34,65,53,71,65,61,58,43,45,36,45,53,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
30,42,42,38,54,43,61,61,50,69,36,63,45,53,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,60,44,43,35,45,53,9.7 km/h,,,,,,,
42,38,54,43,61,61,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
30,42,42,38,55,44,62,60,50,69,36,63,45,53,9.7 km/h,,,,,,,
43,38,55,44,62,60,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,72,64,63,59,43,45,36,45,53,9.7 km/h,,,,,,,
43,38,54,43,62,60,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
42,38,55,44,61,61,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
28,40,33,65,51,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
42,38,54,43,62,60,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
40,38,54,43,62,60,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
27,40,32,64,52,71,64,63,58,43,42,35,45,53,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
30,42,42,38,59,48,61,61,50,69,36,63,45,53,9.7 km/h,,,,,,,
27,40,32,64,52,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
31,42,45,39,55,44,62,60,51,69,36,63,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,64,62,60,44,43,35,44,52,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,64,62,58,43,43,35,44,52,9.7 km/h,,,,,,,
27,40,34,65,52,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
29,44,45,39,59,48,62,60,51,69,37,64,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,64,62,58,43,45,36,44,53,9.7 km/h,,,,,,,
27,41,35,66,52,72,65,62,58,43,44,36,45,53,9.7 km/h,,,,,,,
26,40,35,66,51,71,64,61,60,45,49,38,44,52,9.7 km/h,,,,,,,
29,45,46,39,59,48,63,59,48,69,34,61,45,53,9.7 km/h,,,,,,,
26,40,34,65,51,71,65,60,60,45,49,38,44,52,9.7 km/h,,,,,,,
30,43,45,39,55,44,62,61,51,69,36,63,45,53,9.7 km/h,,,,,,,
26,40,34,65,51,71,64,62,60,44,42,35,44,52,9.7 km/h,,,,,,,
28,41,35,66,53,72,65,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
26,40,34,65,51,71,64,61,60,45,49,38,44,52,9.7 km/h,,,,,,,
28,41,35,66,52,72,64,64,60,44,44,36,45,53,9.7 km/h,,,,,,,
26,40,34,65,51,71,64,61,58,43,42,35,44,52,9.7 km/h,,,,,,,
28,46,46,39,58,46,62,61,46,68,34,61,45,53,9.7 km/h,,,,,,,
26,40,34,65,51,71,65,60,57,42,42,35,44,52,9.7 km/h,,,,,,,
41,38,59,48,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
27,40,34,65,51,71,64,62,60,44,44,36,44,52,9.7 km/h,,,,,,,
29,44,40,39,54,43,62,61,51,69,38,64,45,53,9.7 km/h,,,,,,,
27,40,34,65,51,71,64,62,58,43,45,36,44,52,9.7 km/h,,,,,,,
29,40,34,65,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,51,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
28,40,34,65,52,72,65,62,58,43,45,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,71,64,62,58,43,42,35,44,53,9.7 km/h,,,,,,,
27,41,35,66,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
29,42,39,38,52,42,62,59,49,69,36,63,44,52,9.7 km/h,,,,,,,
29,44,39,39,55,44,62,61,51,69,36,63,45,53,9.7 km/h,,,,,,,
27,40,33,65,53,71,65,61,60,44,44,36,44,53,9.7 km/h,,,,,,,
27,41,35,66,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,65,61,60,45,49,38,44,53,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
27,41,34,65,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
26,40,32,64,51,71,64,61,60,45,49,38,44,52,9.7 km/h,,,,,,,
27,41,34,65,52,72,65,62,60,44,39,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,49,72,65,61,58,43,44,36,44,53,9.7 km/h,,,,,,,
41,38,59,48,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,65,61,58,43,42,35,44,53,9.7 km/h,,,,,,,
27,41,34,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,53,71,65,61,58,43,42,35,44,53,9.7 km/h,,,,,,,
28,40,35,66,51,72,64,63,58,43,45,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,71,65,61,60,45,49,38,44,52,9.7 km/h,,,,,,,
28,45,45,39,59,48,62,60,48,69,33,60,45,53,9.7 km/h,,,,,,,
42,38,54,43,62,60,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
40,38,55,44,62,60,50,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
42,38,55,44,62,60,50,69,36,63,28,46,45,53,9.7 km/h,,,,,,,
30,42,42,38,55,44,61,61,49,69,36,63,45,52,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,58,43,45,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,51,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
45,39,55,44,62,60,51,69,36,63,28,45,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,64,62,58,43,43,35,44,52,9.7 km/h,,,,,,,
28,40,33,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,33,65,52,71,65,61,60,45,49,38,44,52,9.7 km/h,,,,,,,
28,40,33,65,51,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,71,64,62,58,43,42,35,44,52,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
30,42,41,38,55,44,61,61,50,69,37,64,45,53,9.7 km/h,,,,,,,
28,40,33,65,52,72,64,63,58,43,45,36,45,53,9.7 km/h,,,,,,,
31,41,43,38,55,44,61,61,50,69,32,58,45,53,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,60,44,44,36,45,53,9.7 km/h,,,,,,,
30,42,43,38,55,44,61,60,49,69,37,64,44,52,9.7 km/h,,,,,,,
30,42,42,38,55,44,61,61,50,69,36,63,45,53,9.7 km/h,,,,,,,
28,40,34,65,51,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,32,64,51,72,65,61,58,43,42,35,44,53,9.7 km/h,,,,,,,
28,40,34,65,52,72,64,63,58,43,44,36,45,53,9.7 km/h,,,,,,,
27,40,34,65,52,71,63,63,58,43,42,35,44,52,9.7 km/h,,,,,,,
