"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(46, 73)","(51, 97)","(71, 104)","(83, 94)","(79, 77)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(51, 97)","(71, 104)","(84, 94)","(80, 79)","(68, 71)","(63, 85)",9.7 km/h,,,,,,,
"(45, 74)","(53, 98)","(71, 105)","(83, 96)","(77, 76)","(64, 69)","(64, 86)",9.7 km/h,,,,,,,
"(50, 75)","(62, 71)","(74, 77)","(80, 95)","(70, 102)","(55, 96)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(71, 105)","(84, 95)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(71, 105)","(84, 95)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 78)","(64, 72)","(78, 81)","(81, 93)","(67, 102)","(52, 93)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(68, 71)","(63, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(70, 104)","(83, 95)","(79, 77)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(61, 71)","(71, 75)","(81, 93)","(69, 102)","(55, 96)","(47, 79)","(64, 86)",9.7 km/h,,,,,,,
"(60, 71)","(71, 75)","(81, 93)","(70, 102)","(55, 96)","(47, 79)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(71, 105)","(84, 95)","(79, 77)","(64, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(71, 105)","(84, 95)","(79, 77)","(64, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(54, 99)","(70, 105)","(83, 96)","(78, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(49, 75)","(61, 71)","(73, 76)","(81, 92)","(69, 102)","(55, 96)","(64, 85)",9.7 km/h,,,,,,,
