"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(32, 56)","(39, 82)","(55, 88)","(68, 79)","(62, 59)","(49, 52)","(49, 69)",9.7 km/h,2025:01:26_15:06,2025:01:26_15:06,34s,1.0,0.0,0.0,4.0
"(32, 56)","(39, 82)","(56, 87)","(69, 77)","(62, 59)","(49, 52)","(49, 69)",9.7 km/h,,,,,,,
"(30, 57)","(38, 81)","(55, 88)","(69, 77)","(62, 59)","(46, 51)","(49, 69)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(55, 88)","(68, 79)","(62, 59)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(46, 54)","(58, 59)","(66, 76)","(54, 85)","(40, 79)","(32, 62)","(49, 69)",9.7 km/h,,,,,,,
"(32, 61)","(49, 55)","(63, 64)","(66, 76)","(52, 85)","(38, 77)","(49, 69)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(56, 87)","(68, 78)","(62, 59)","(46, 51)","(48, 68)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(55, 88)","(68, 79)","(63, 59)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(55, 87)","(69, 77)","(65, 62)","(53, 54)","(48, 68)",9.7 km/h,,,,,,,
"(34, 58)","(46, 54)","(59, 60)","(65, 77)","(54, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(55, 88)","(68, 79)","(62, 59)","(49, 52)","(49, 69)",9.7 km/h,,,,,,,
"(46, 54)","(59, 60)","(65, 77)","(54, 85)","(40, 79)","(32, 62)","(49, 69)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(55, 88)","(68, 79)","(62, 59)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(56, 88)","(68, 79)","(62, 59)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(46, 54)","(59, 60)","(66, 76)","(55, 85)","(40, 79)","(32, 62)","(49, 69)",9.7 km/h,,,,,,,
"(46, 54)","(59, 60)","(65, 77)","(54, 85)","(40, 79)","(32, 62)","(49, 69)",9.7 km/h,,,,,,,
"(34, 58)","(47, 54)","(59, 60)","(66, 76)","(55, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(55, 87)","(68, 78)","(63, 59)","(46, 51)","(48, 68)",9.7 km/h,,,,,,,
"(33, 60)","(43, 55)","(58, 59)","(66, 77)","(55, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(56, 87)","(68, 78)","(62, 59)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(33, 60)","(43, 55)","(58, 59)","(66, 77)","(55, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(34, 58)","(46, 54)","(59, 60)","(66, 75)","(56, 84)","(40, 79)","(49, 68)",9.7 km/h,,,,,,,
"(33, 56)","(38, 81)","(56, 88)","(69, 78)","(64, 60)","(48, 52)","(49, 69)",9.7 km/h,,,,,,,
"(34, 58)","(47, 54)","(57, 59)","(66, 75)","(54, 85)","(40, 79)","(48, 68)",9.7 km/h,,,,,,,
"(34, 58)","(45, 54)","(56, 58)","(66, 76)","(55, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(55, 87)","(68, 78)","(63, 59)","(46, 51)","(48, 68)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(56, 87)","(69, 77)","(65, 62)","(53, 54)","(48, 68)",9.7 km/h,,,,,,,
"(32, 56)","(38, 81)","(56, 88)","(68, 79)","(63, 59)","(49, 52)","(49, 69)",9.7 km/h,,,,,,,
"(32, 61)","(49, 55)","(63, 64)","(66, 75)","(52, 85)","(37, 76)","(49, 69)",9.7 km/h,,,,,,,
"(34, 58)","(46, 54)","(59, 60)","(66, 76)","(54, 85)","(40, 79)","(49, 69)",9.7 km/h,,,,,,,
"(34, 58)","(46, 54)","(58, 59)","(66, 75)","(54, 85)","(41, 80)","(49, 68)",9.7 km/h,,,,,,,
"(31, 56)","(38, 81)","(56, 87)","(69, 77)","(63, 59)","(47, 51)","(48, 68)",9.7 km/h,,,,,,,
