"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(45, 76)","(57, 72)","(70, 78)","(76, 95)","(65, 103)","(52, 98)","(60, 87)",9.4 km/h,2025:01:26_14:33,2025:01:26_14:41,456s,1.0,0.0,0.0,32.0
"(42, 74)","(48, 99)","(66, 106)","(79, 97)","(73, 77)","(59, 70)","(59, 87)",9.4 km/h,,,,,,,
"(43, 74)","(50, 100)","(66, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(42, 74)","(50, 100)","(65, 106)","(79, 97)","(73, 77)","(59, 70)","(59, 87)",9.4 km/h,,,,,,,
"(42, 75)","(50, 100)","(66, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(42, 74)","(50, 100)","(66, 106)","(79, 97)","(73, 77)","(59, 70)","(59, 87)",9.4 km/h,,,,,,,
"(42, 75)","(48, 99)","(67, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(41, 75)","(48, 99)","(66, 106)","(80, 95)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(42, 75)","(48, 99)","(67, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(41, 75)","(48, 99)","(66, 106)","(80, 95)","(71, 76)","(59, 70)","(59, 87)",9.4 km/h,,,,,,,
"(57, 72)","(70, 78)","(77, 94)","(65, 103)","(52, 98)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(43, 74)","(50, 100)","(67, 106)","(79, 97)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(55, 72)","(70, 78)","(77, 94)","(65, 103)","(51, 97)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(42, 75)","(50, 100)","(67, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(55, 72)","(70, 78)","(76, 95)","(65, 103)","(52, 98)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(42, 75)","(50, 100)","(67, 106)","(79, 97)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(42, 74)","(50, 100)","(66, 106)","(80, 95)","(69, 75)","(59, 70)","(59, 87)",9.4 km/h,,,,,,,
"(43, 74)","(50, 100)","(67, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(55, 72)","(70, 78)","(77, 94)","(65, 103)","(52, 98)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(43, 74)","(50, 100)","(66, 106)","(80, 95)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(58, 72)","(69, 77)","(77, 94)","(66, 103)","(51, 97)","(43, 79)","(60, 87)",9.4 km/h,,,,,,,
"(42, 74)","(49, 99)","(66, 106)","(80, 95)","(75, 79)","(64, 72)","(59, 86)",9.4 km/h,,,,,,,
"(42, 75)","(49, 99)","(67, 106)","(79, 97)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(42, 74)","(49, 99)","(66, 106)","(80, 95)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(43, 74)","(49, 99)","(67, 106)","(79, 97)","(75, 78)","(60, 70)","(60, 87)",9.4 km/h,,,,,,,
"(55, 72)","(69, 77)","(76, 95)","(65, 103)","(52, 98)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(43, 74)","(49, 99)","(67, 106)","(79, 97)","(73, 77)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
"(56, 72)","(70, 78)","(76, 95)","(65, 103)","(51, 97)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(42, 75)","(49, 99)","(67, 106)","(79, 97)","(75, 78)","(60, 70)","(60, 87)",9.4 km/h,,,,,,,
"(56, 72)","(70, 78)","(76, 95)","(65, 103)","(51, 97)","(43, 79)","(60, 87)",9.4 km/h,,,,,,,
"(56, 72)","(70, 78)","(77, 94)","(66, 103)","(51, 97)","(43, 80)","(60, 87)",9.4 km/h,,,,,,,
"(45, 76)","(55, 72)","(70, 78)","(77, 94)","(65, 103)","(51, 97)","(60, 87)",9.4 km/h,,,,,,,
"(43, 74)","(50, 100)","(67, 106)","(79, 97)","(75, 78)","(59, 70)","(60, 87)",9.4 km/h,,,,,,,
