"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(28, 42)","(35, 67)","(52, 74)","(66, 63)","(59, 45)","(45, 38)","(46, 55)",9.4 km/h,2025:01:26_14:41,2025:01:26_14:45,207s,1.0,0.0,0.0,0.0
"(27, 43)","(35, 67)","(53, 74)","(65, 65)","(59, 45)","(46, 38)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(53, 73)","(65, 64)","(59, 45)","(43, 37)","(45, 54)",9.4 km/h,,,,,,,
"(41, 40)","(56, 46)","(63, 62)","(52, 71)","(40, 67)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(52, 73)","(66, 63)","(61, 47)","(50, 40)","(45, 54)",9.4 km/h,,,,,,,
"(27, 43)","(35, 67)","(52, 74)","(65, 65)","(61, 46)","(46, 38)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(52, 73)","(65, 64)","(61, 46)","(44, 37)","(45, 54)",9.4 km/h,,,,,,,
"(44, 40)","(55, 45)","(63, 62)","(52, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(44, 40)","(55, 45)","(62, 63)","(51, 71)","(37, 65)","(46, 54)",9.4 km/h,,,,,,,
"(44, 40)","(56, 46)","(63, 62)","(52, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(41, 40)","(60, 50)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(44, 40)","(53, 44)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(53, 73)","(66, 63)","(61, 47)","(50, 40)","(45, 55)",9.4 km/h,,,,,,,
"(31, 44)","(44, 40)","(56, 46)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(53, 73)","(66, 63)","(61, 46)","(43, 37)","(45, 54)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(51, 71)","(38, 66)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(52, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(51, 71)","(37, 65)","(29, 48)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(43, 40)","(56, 46)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(54, 73)","(66, 63)","(60, 45)","(43, 37)","(45, 54)",9.4 km/h,,,,,,,
"(31, 44)","(44, 40)","(55, 45)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(53, 73)","(65, 64)","(59, 45)","(43, 37)","(45, 55)",9.4 km/h,,,,,,,
"(31, 44)","(41, 40)","(60, 50)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(29, 42)","(36, 68)","(52, 74)","(65, 65)","(61, 46)","(45, 38)","(46, 55)",9.4 km/h,,,,,,,
"(44, 40)","(55, 45)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(27, 43)","(35, 67)","(52, 74)","(66, 63)","(60, 45)","(45, 38)","(46, 55)",9.4 km/h,,,,,,,
"(27, 43)","(35, 67)","(53, 73)","(66, 63)","(60, 45)","(43, 37)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(40, 40)","(53, 44)","(63, 62)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(29, 47)","(46, 41)","(60, 50)","(63, 62)","(49, 71)","(34, 62)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(40, 40)","(60, 50)","(62, 63)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(56, 46)","(63, 62)","(51, 71)","(37, 65)","(29, 48)","(46, 55)",9.4 km/h,,,,,,,
"(29, 42)","(35, 67)","(53, 74)","(66, 63)","(61, 46)","(45, 38)","(46, 55)",9.4 km/h,,,,,,,
"(44, 40)","(56, 46)","(63, 62)","(52, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(44, 40)","(56, 46)","(63, 62)","(51, 71)","(37, 65)","(46, 55)",9.4 km/h,,,,,,,
"(29, 42)","(35, 67)","(52, 74)","(65, 65)","(61, 46)","(44, 37)","(46, 55)",9.4 km/h,,,,,,,
"(29, 42)","(35, 67)","(53, 73)","(66, 63)","(61, 46)","(44, 37)","(46, 55)",9.4 km/h,,,,,,,
"(27, 43)","(35, 67)","(52, 74)","(65, 65)","(61, 46)","(45, 38)","(46, 55)",9.4 km/h,,,,,,,
"(44, 40)","(56, 46)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(44, 40)","(56, 46)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(52, 74)","(65, 65)","(60, 45)","(44, 37)","(46, 55)",9.4 km/h,,,,,,,
"(28, 42)","(35, 67)","(52, 74)","(65, 65)","(58, 44)","(44, 37)","(46, 55)",9.4 km/h,,,,,,,
"(31, 44)","(44, 40)","(56, 46)","(62, 63)","(50, 71)","(37, 65)","(46, 54)",9.4 km/h,,,,,,,
"(43, 40)","(56, 46)","(63, 62)","(51, 71)","(37, 65)","(29, 48)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(52, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
"(43, 40)","(53, 44)","(63, 62)","(51, 71)","(37, 65)","(29, 47)","(46, 55)",9.4 km/h,,,,,,,
