"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(34, 31)","(50, 26)","(69, 35)","(68, 52)","(51, 57)","(36, 50)",40.829750537872314
"(31, 27)","(31, 51)","(52, 60)","(73, 54)","(70, 31)","(54, 22)",
"(34, 31)","(50, 26)","(69, 35)","(68, 52)","(51, 57)","(36, 50)",
"(33, 23)","(31, 51)","(52, 60)","(73, 54)","(70, 31)","(54, 22)",
"(34, 31)","(50, 26)","(69, 35)","(68, 52)","(50, 57)","(36, 50)",
"(33, 23)","(31, 51)","(52, 60)","(73, 54)","(70, 31)","(54, 22)",
"(34, 31)","(50, 26)","(69, 35)","(68, 52)","(50, 57)","(36, 50)",
"(33, 23)","(31, 51)","(52, 60)","(70, 56)","(70, 31)","(54, 22)",
"(35, 30)","(52, 25)","(69, 36)","(68, 52)","(50, 57)","(36, 50)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(69, 36)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(68, 34)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
"(53, 25)","(69, 36)","(69, 50)","(50, 57)","(32, 44)","(36, 30)",
