"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(37, 20)","(54, 14)","(68, 20)","(73, 39)","(54, 46)","(39, 39)"
"(35, 16)","(35, 40)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(73, 39)","(54, 46)","(39, 39)"
"(35, 16)","(35, 40)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(61, 16)","(72, 23)","(73, 39)","(54, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(74, 45)","(74, 20)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(59, 15)","(72, 24)","(73, 39)","(54, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(61, 16)","(72, 24)","(73, 39)","(54, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(55, 14)","(72, 24)","(73, 39)","(53, 46)","(37, 37)","(36, 22)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(51, 15)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(74, 20)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(55, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
"(35, 16)","(36, 41)","(50, 48)","(73, 45)","(72, 18)","(57, 11)"
"(37, 20)","(54, 14)","(68, 20)","(72, 41)","(53, 46)","(39, 39)"
