"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second)
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(54, 47)","(33, 38)",,,,
"(35, 20)","(53, 16)","(65, 22)","(69, 41)","(54, 47)","(37, 41)",,,,
"(35, 20)","(53, 16)","(65, 22)","(69, 41)","(54, 47)","(37, 41)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(54, 16)","(68, 24)","(68, 43)","(45, 46)","(33, 38)",,,,
"(34, 22)","(54, 16)","(68, 24)","(68, 43)","(45, 46)","(33, 38)",,,,
"(34, 22)","(50, 16)","(66, 22)","(68, 43)","(45, 46)","(33, 38)",,,,
"(34, 22)","(50, 16)","(66, 22)","(68, 43)","(45, 46)","(33, 38)",,,,
"(31, 19)","(35, 44)","(51, 51)","(72, 45)","(70, 21)","(53, 13)",,,,
"(31, 19)","(35, 44)","(51, 51)","(72, 45)","(70, 21)","(53, 13)",,,,
"(34, 22)","(52, 16)","(65, 22)","(69, 43)","(50, 48)","(36, 41)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(69, 21)","(53, 13)",,,,
"(34, 22)","(52, 16)","(65, 22)","(69, 43)","(50, 48)","(36, 41)",,,,
"(34, 22)","(50, 16)","(70, 28)","(68, 43)","(48, 47)","(36, 41)",,,,
"(31, 19)","(30, 40)","(48, 51)","(71, 47)","(80, 24)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(33, 15)","(33, 43)","(47, 50)","(71, 47)","(70, 21)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(32, 17)","(32, 42)","(47, 50)","(73, 43)","(69, 21)","(54, 13)",,,,
"(32, 17)","(32, 42)","(47, 50)","(73, 43)","(69, 21)","(54, 13)",,,,
"(32, 17)","(32, 42)","(47, 50)","(73, 43)","(69, 21)","(54, 13)",,,,
"(34, 21)","(53, 16)","(65, 22)","(69, 42)","(48, 47)","(36, 41)",,,,
"(32, 18)","(33, 43)","(47, 50)","(71, 47)","(71, 22)","(53, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(70, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(33, 43)","(47, 50)","(72, 45)","(71, 22)","(53, 13)",,,,
"(52, 16)","(70, 28)","(69, 41)","(50, 48)","(34, 39)","(33, 24)",,,,
"(53, 16)","(69, 26)","(69, 41)","(50, 48)","(34, 39)","(33, 24)",,,,
"(34, 22)","(50, 16)","(70, 28)","(69, 41)","(50, 48)","(33, 38)",,,,
"(34, 22)","(50, 16)","(70, 27)","(69, 41)","(50, 48)","(33, 38)",,,,
"(34, 22)","(56, 17)","(70, 27)","(69, 41)","(50, 48)","(33, 38)",,,,
"(31, 20)","(30, 40)","(53, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(33, 24)","(53, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 38)",,,,
"(31, 19)","(32, 42)","(47, 50)","(72, 46)","(70, 21)","(53, 13)",,,,
"(33, 24)","(51, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(31, 19)","(32, 42)","(47, 50)","(72, 46)","(69, 21)","(53, 13)",,,,
"(33, 24)","(51, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(31, 19)","(32, 42)","(47, 50)","(72, 46)","(69, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(70, 28)","(69, 41)","(54, 47)","(36, 41)",,,,
"(32, 16)","(31, 41)","(47, 50)","(71, 47)","(69, 20)","(54, 13)",,,,
"(34, 22)","(51, 16)","(69, 27)","(69, 41)","(54, 47)","(36, 41)",,,,
"(32, 16)","(31, 41)","(47, 50)","(71, 47)","(69, 20)","(54, 13)",,,,
"(34, 22)","(56, 17)","(68, 25)","(69, 41)","(54, 47)","(36, 41)",,,,
"(32, 16)","(31, 41)","(47, 50)","(71, 47)","(69, 20)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(35, 40)",,,,
"(32, 16)","(31, 41)","(47, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 43)","(50, 48)","(35, 40)",,,,
"(32, 16)","(30, 39)","(47, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 43)","(50, 48)","(35, 40)",,,,
"(32, 16)","(30, 39)","(47, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(35, 40)",,,,
"(32, 16)","(30, 39)","(47, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 43)","(50, 48)","(35, 40)",,,,
"(32, 16)","(30, 39)","(47, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(33, 23)","(50, 16)","(70, 28)","(69, 43)","(50, 48)","(36, 41)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(33, 23)","(50, 16)","(69, 26)","(69, 43)","(50, 48)","(36, 41)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(33, 23)","(50, 16)","(69, 26)","(69, 43)","(48, 47)","(36, 41)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 42)","(45, 46)","(33, 37)",,,,
"(33, 14)","(31, 41)","(47, 50)","(72, 46)","(69, 21)","(54, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 42)","(45, 46)","(33, 37)",,,,
"(33, 14)","(31, 41)","(47, 50)","(72, 46)","(69, 21)","(54, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 42)","(45, 46)","(33, 37)",,,,
"(33, 14)","(31, 41)","(47, 50)","(72, 46)","(69, 21)","(54, 13)",,,,
"(34, 22)","(56, 17)","(69, 26)","(70, 41)","(54, 47)","(36, 41)",,,,
"(34, 22)","(56, 17)","(69, 26)","(69, 43)","(48, 47)","(36, 41)",,,,
"(33, 22)","(50, 16)","(65, 22)","(69, 42)","(54, 47)","(33, 38)",,,,
"(33, 22)","(54, 16)","(69, 26)","(69, 41)","(54, 47)","(33, 38)",,,,
"(33, 22)","(54, 16)","(69, 26)","(69, 41)","(54, 47)","(33, 38)",,,,
"(34, 22)","(50, 16)","(70, 27)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(50, 16)","(70, 27)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 45)","(48, 47)","(35, 40)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 45)","(48, 47)","(35, 40)",,,,
"(35, 21)","(50, 16)","(70, 28)","(69, 41)","(54, 47)","(36, 41)",,,,
"(35, 21)","(53, 16)","(67, 23)","(68, 43)","(48, 47)","(36, 41)",,,,
"(35, 21)","(53, 16)","(66, 23)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(33, 37)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(54, 47)","(33, 37)",,,,
"(34, 22)","(52, 16)","(65, 22)","(68, 43)","(54, 47)","(33, 37)",,,,
"(34, 22)","(48, 17)","(65, 22)","(68, 43)","(54, 47)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 38)",,,,
"(32, 17)","(32, 42)","(47, 50)","(72, 45)","(68, 20)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 38)",,,,
"(31, 19)","(32, 42)","(47, 50)","(72, 45)","(68, 20)","(53, 13)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(48, 47)","(36, 41)",,,,
"(32, 18)","(30, 40)","(51, 51)","(73, 44)","(68, 20)","(54, 13)",,,,
"(34, 22)","(50, 16)","(69, 27)","(68, 43)","(48, 47)","(36, 41)",,,,
"(34, 22)","(53, 16)","(68, 24)","(68, 45)","(48, 47)","(36, 41)",,,,
"(32, 16)","(33, 43)","(47, 50)","(72, 46)","(72, 23)","(53, 13)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 45)","(48, 47)","(36, 41)",,,,
"(32, 16)","(33, 43)","(47, 50)","(72, 46)","(72, 23)","(53, 13)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 45)","(48, 47)","(36, 41)",,,,
"(32, 16)","(33, 43)","(47, 50)","(72, 46)","(72, 23)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(51, 16)","(69, 26)","(69, 42)","(54, 47)","(33, 38)",,,,
"(32, 17)","(33, 43)","(48, 51)","(71, 47)","(70, 21)","(53, 13)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(52, 16)","(67, 23)","(68, 43)","(48, 47)","(35, 40)",,,,
"(34, 22)","(52, 16)","(67, 23)","(69, 42)","(54, 47)","(33, 38)",,,,
"(34, 22)","(52, 16)","(67, 23)","(69, 42)","(54, 47)","(33, 38)",,,,
"(34, 22)","(51, 16)","(70, 28)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(51, 16)","(70, 28)","(69, 42)","(50, 48)","(36, 41)",,,,
"(52, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 37)","(33, 24)",,,,
"(52, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 37)","(33, 24)",,,,
"(34, 22)","(52, 16)","(65, 22)","(69, 41)","(54, 47)","(33, 37)",,,,
"(34, 22)","(52, 16)","(65, 22)","(69, 41)","(54, 47)","(33, 37)",,,,
"(34, 22)","(52, 16)","(65, 22)","(69, 41)","(54, 47)","(33, 37)",,,,
"(34, 22)","(52, 16)","(65, 22)","(70, 41)","(54, 47)","(33, 37)",,,,
"(34, 22)","(52, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(51, 16)","(65, 22)","(69, 43)","(50, 48)","(36, 41)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(50, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(31, 19)","(33, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(31, 19)","(33, 43)","(48, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(50, 48)","(36, 41)",,,,
"(31, 19)","(33, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(52, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(48, 51)","(73, 44)","(70, 21)","(54, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(48, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(48, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(48, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(48, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(49, 51)","(72, 45)","(70, 21)","(54, 13)",,,,
"(31, 19)","(33, 43)","(49, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(31, 19)","(33, 43)","(49, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(31, 19)","(33, 43)","(49, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(31, 19)","(33, 43)","(49, 51)","(72, 46)","(70, 21)","(54, 13)",,,,
"(53, 16)","(69, 26)","(69, 41)","(50, 48)","(35, 40)","(33, 24)",,,,
"(53, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 37)","(33, 24)",,,,
"(32, 17)","(32, 42)","(47, 50)","(72, 46)","(72, 23)","(53, 13)",,,,
"(34, 21)","(50, 16)","(70, 28)","(70, 41)","(54, 47)","(33, 38)",,,,
"(31, 19)","(34, 43)","(48, 51)","(72, 46)","(69, 20)","(53, 13)",,,,
"(34, 21)","(50, 16)","(70, 28)","(70, 41)","(54, 47)","(33, 38)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(54, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 38)",,,,
"(34, 22)","(54, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(32, 42)","(46, 50)","(73, 44)","(70, 21)","(54, 13)",,,,
"(34, 22)","(56, 17)","(69, 26)","(70, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(30, 40)","(49, 51)","(71, 47)","(71, 21)","(54, 13)",,,,
"(34, 22)","(56, 17)","(69, 26)","(69, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(30, 40)","(49, 51)","(71, 47)","(69, 20)","(54, 13)",,,,
"(34, 22)","(56, 17)","(68, 25)","(69, 41)","(54, 47)","(33, 38)",,,,
"(32, 17)","(30, 40)","(49, 51)","(71, 47)","(69, 20)","(55, 13)",,,,
"(34, 22)","(56, 17)","(68, 25)","(70, 41)","(54, 47)","(33, 38)",,,,
"(32, 17)","(30, 40)","(47, 50)","(71, 47)","(69, 20)","(55, 13)",,,,
"(34, 22)","(52, 16)","(70, 28)","(68, 43)","(50, 48)","(33, 38)",,,,
"(31, 18)","(32, 42)","(47, 50)","(72, 46)","(68, 20)","(53, 13)",,,,
"(53, 16)","(70, 27)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(53, 16)","(70, 27)","(69, 41)","(50, 48)","(34, 39)","(33, 24)",,,,
"(34, 22)","(53, 16)","(67, 23)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(50, 48)","(33, 37)",,,,
"(31, 18)","(34, 43)","(47, 50)","(72, 46)","(69, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 43)","(50, 48)","(33, 37)",,,,
"(31, 19)","(32, 42)","(47, 50)","(72, 46)","(69, 20)","(53, 13)",,,,
"(32, 17)","(32, 42)","(47, 50)","(72, 46)","(69, 20)","(53, 13)",,,,
"(34, 22)","(53, 16)","(67, 23)","(68, 43)","(50, 48)","(33, 36)",,,,
"(31, 19)","(30, 40)","(49, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(53, 16)","(67, 23)","(68, 43)","(50, 48)","(33, 36)",,,,
"(32, 17)","(33, 43)","(48, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(53, 16)","(67, 23)","(68, 43)","(50, 48)","(33, 36)",,,,
"(32, 17)","(33, 43)","(49, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(53, 16)","(67, 23)","(68, 43)","(50, 48)","(33, 36)",,,,
"(32, 17)","(33, 43)","(49, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(53, 16)","(67, 23)","(68, 43)","(50, 48)","(33, 36)",,,,
"(32, 17)","(33, 43)","(49, 51)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(48, 17)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(53, 16)","(67, 23)","(70, 41)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(47, 50)","(71, 47)","(70, 21)","(54, 13)",,,,
"(34, 22)","(56, 17)","(69, 25)","(69, 41)","(50, 48)","(36, 41)",,,,
"(32, 16)","(34, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(56, 17)","(69, 25)","(69, 41)","(50, 48)","(36, 41)",,,,
"(32, 16)","(34, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(56, 17)","(69, 25)","(69, 41)","(50, 48)","(36, 41)",,,,
"(32, 16)","(34, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(56, 17)","(69, 25)","(69, 41)","(50, 48)","(36, 41)",,,,
"(32, 16)","(34, 43)","(47, 50)","(73, 44)","(70, 21)","(53, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(72, 23)","(54, 13)",,,,
"(32, 16)","(34, 43)","(47, 50)","(73, 44)","(72, 23)","(54, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(70, 22)","(54, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(70, 22)","(54, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(70, 22)","(54, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(70, 22)","(54, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(69, 43)","(45, 46)","(33, 36)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(72, 23)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(45, 46)","(33, 37)",,,,
"(34, 22)","(50, 16)","(70, 27)","(69, 43)","(50, 48)","(36, 41)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(47, 50)","(73, 44)","(71, 22)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(47, 50)","(73, 44)","(71, 22)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(47, 50)","(73, 44)","(71, 22)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(33, 43)","(47, 50)","(73, 44)","(71, 22)","(54, 13)",,,,
"(32, 17)","(33, 43)","(47, 50)","(73, 45)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(47, 47)","(33, 38)",,,,
"(32, 17)","(33, 43)","(47, 50)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(47, 47)","(33, 38)",,,,
"(32, 17)","(33, 43)","(47, 50)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 36)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(50, 48)","(33, 36)",,,,
"(32, 16)","(31, 41)","(46, 50)","(72, 45)","(69, 20)","(53, 13)",,,,
"(34, 22)","(50, 16)","(69, 25)","(69, 41)","(50, 48)","(33, 36)",,,,
"(34, 22)","(50, 16)","(69, 25)","(69, 41)","(50, 48)","(33, 36)",,,,
"(34, 22)","(50, 16)","(69, 25)","(69, 41)","(50, 48)","(33, 36)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(35, 44)","(48, 51)","(71, 47)","(70, 21)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(35, 44)","(48, 51)","(71, 47)","(70, 21)","(54, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(70, 41)","(50, 48)","(33, 38)",,,,
"(32, 17)","(35, 44)","(48, 51)","(71, 47)","(70, 21)","(54, 13)",,,,
"(34, 22)","(56, 17)","(70, 27)","(70, 41)","(50, 48)","(33, 37)",,,,
"(32, 16)","(33, 43)","(48, 51)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(56, 17)","(70, 27)","(70, 41)","(50, 48)","(33, 37)",,,,
"(32, 16)","(32, 42)","(48, 51)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(70, 27)","(69, 42)","(50, 48)","(33, 37)",,,,
"(32, 16)","(32, 42)","(48, 51)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(54, 16)","(68, 24)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(30, 41)","(47, 50)","(72, 46)","(68, 20)","(54, 13)",,,,
"(34, 22)","(54, 16)","(68, 24)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 17)","(30, 41)","(47, 50)","(72, 46)","(68, 20)","(54, 13)",,,,
"(34, 22)","(54, 16)","(68, 24)","(68, 43)","(50, 48)","(36, 41)",,,,
"(33, 22)","(52, 16)","(65, 22)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(69, 21)","(53, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(69, 21)","(53, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(71, 47)","(69, 21)","(53, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(34, 22)","(51, 16)","(70, 28)","(68, 43)","(48, 47)","(33, 38)",,,,
"(34, 22)","(54, 16)","(67, 23)","(68, 43)","(48, 47)","(33, 38)",,,,
"(34, 22)","(54, 16)","(67, 23)","(68, 43)","(48, 47)","(33, 38)",,,,
"(34, 22)","(50, 16)","(69, 27)","(69, 41)","(50, 48)","(33, 38)",,,,
"(31, 19)","(30, 39)","(43, 49)","(72, 46)","(70, 21)","(53, 13)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(52, 48)","(33, 37)",,,,
"(34, 22)","(50, 16)","(65, 22)","(69, 41)","(52, 48)","(33, 37)",,,,
"(32, 16)","(32, 42)","(47, 50)","(72, 45)","(69, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 43)","(45, 46)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(69, 21)","(53, 13)",,,,
"(34, 22)","(51, 16)","(65, 22)","(68, 43)","(45, 46)","(33, 38)",,,,
"(32, 16)","(32, 42)","(47, 50)","(73, 44)","(69, 21)","(53, 13)",,,,
"(33, 22)","(53, 16)","(66, 23)","(68, 43)","(45, 46)","(33, 38)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(35, 40)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(33, 38)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(33, 38)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(33, 38)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(36, 41)",,,,
"(32, 18)","(33, 43)","(47, 50)","(73, 44)","(71, 22)","(54, 13)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(37, 41)",,,,
"(32, 18)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(34, 22)","(53, 16)","(66, 23)","(68, 43)","(50, 48)","(37, 41)",,,,
"(32, 18)","(33, 43)","(47, 50)","(73, 44)","(69, 21)","(54, 13)",,,,
"(32, 16)","(32, 42)","(46, 50)","(71, 47)","(69, 21)","(53, 13)",,,,
"(32, 16)","(32, 42)","(47, 50)","(71, 47)","(71, 22)","(53, 13)",,,,
