"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second)
"(30, 20)","(31, 42)","(47, 51)","(71, 46)","(68, 20)","(53, 14)",,,,
"(34, 22)","(52, 16)","(69, 27)","(68, 43)","(50, 48)","(34, 40)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(52, 13)",,,,
"(34, 23)","(52, 16)","(69, 27)","(68, 43)","(50, 48)","(37, 42)",,,,
"(32, 16)","(31, 42)","(47, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(32, 16)","(33, 43)","(47, 51)","(73, 44)","(70, 22)","(52, 13)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(30, 20)","(34, 44)","(48, 51)","(73, 44)","(70, 22)","(55, 14)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 44)","(70, 22)","(55, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(54, 13)","(33, 18)","(30, 40)","(48, 51)","(72, 44)","(72, 25)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(54, 13)","(33, 18)","(30, 40)","(48, 51)","(72, 44)","(72, 25)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(34, 40)","(33, 25)",,,,
"(53, 13)","(30, 20)","(30, 40)","(47, 51)","(73, 45)","(72, 25)",,,,
"(30, 20)","(32, 43)","(48, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 38)","(33, 23)",,,,
"(30, 21)","(34, 44)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 38)","(33, 23)",,,,
"(32, 18)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(32, 18)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(32, 17)","(31, 42)","(47, 51)","(72, 46)","(70, 22)","(52, 13)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(33, 38)",,,,
"(32, 16)","(34, 44)","(48, 51)","(73, 44)","(70, 22)","(53, 14)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 36)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 36)",,,,
"(31, 18)","(32, 43)","(47, 51)","(73, 44)","(71, 22)","(54, 14)",,,,
"(32, 18)","(30, 40)","(52, 51)","(73, 45)","(69, 21)","(53, 14)",,,,
"(32, 18)","(30, 40)","(52, 51)","(73, 45)","(69, 21)","(53, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(71, 22)","(53, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(69, 21)","(53, 14)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(69, 21)","(53, 14)",,,,
"(34, 22)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(34, 22)","(53, 16)","(67, 24)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(31, 42)","(47, 51)","(70, 48)","(69, 21)","(54, 14)",,,,
"(30, 20)","(31, 42)","(47, 51)","(70, 48)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 23)",,,,
"(53, 16)","(68, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 23)",,,,
"(53, 16)","(68, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 23)",,,,
"(32, 16)","(32, 43)","(48, 51)","(71, 46)","(69, 21)","(55, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 46)","(69, 21)","(54, 14)",,,,
"(32, 16)","(33, 43)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(33, 23)","(52, 16)","(67, 24)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 19)","(30, 40)","(51, 51)","(73, 44)","(70, 21)","(54, 14)",,,,
"(32, 16)","(34, 44)","(48, 51)","(73, 45)","(71, 22)","(53, 14)",,,,
"(32, 16)","(33, 43)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(68, 21)","(54, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(68, 21)","(54, 14)",,,,
"(32, 16)","(31, 42)","(48, 51)","(72, 46)","(70, 22)","(55, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(72, 46)","(70, 22)","(55, 14)",,,,
"(32, 16)","(31, 42)","(48, 51)","(72, 46)","(70, 22)","(55, 14)",,,,
"(32, 16)","(31, 42)","(48, 51)","(72, 46)","(70, 22)","(55, 14)",,,,
"(32, 15)","(32, 43)","(47, 51)","(73, 45)","(70, 22)","(54, 14)",,,,
"(32, 15)","(32, 43)","(47, 51)","(73, 45)","(70, 22)","(54, 14)",,,,
"(32, 15)","(32, 43)","(47, 51)","(73, 45)","(70, 22)","(54, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 46)","(70, 21)","(53, 13)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 46)","(70, 21)","(52, 13)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 46)","(70, 21)","(52, 13)",,,,
"(30, 20)","(34, 44)","(48, 51)","(72, 46)","(70, 21)","(52, 13)",,,,
"(32, 16)","(33, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(32, 16)","(33, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(32, 16)","(33, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(69, 21)","(54, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(73, 45)","(69, 21)","(52, 13)",,,,
"(32, 16)","(31, 42)","(47, 51)","(73, 45)","(69, 21)","(52, 13)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(70, 21)","(54, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(71, 46)","(70, 21)","(55, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(73, 45)","(70, 21)","(54, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(73, 45)","(70, 21)","(54, 14)",,,,
"(53, 16)","(68, 26)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(30, 20)","(32, 43)","(47, 51)","(72, 46)","(70, 21)","(55, 14)",,,,
"(53, 16)","(68, 26)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(34, 23)","(49, 17)","(64, 22)","(68, 43)","(52, 48)","(32, 37)",,,,
"(34, 23)","(52, 16)","(65, 22)","(68, 43)","(52, 48)","(32, 37)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(52, 48)","(32, 36)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(49, 48)","(31, 39)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 17)","(33, 43)","(48, 51)","(70, 47)","(71, 23)","(54, 14)",,,,
"(32, 17)","(33, 43)","(48, 51)","(70, 47)","(71, 23)","(54, 14)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(49, 48)","(35, 41)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(50, 48)","(35, 41)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(50, 48)","(35, 41)",,,,
"(33, 23)","(50, 17)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(33, 23)","(50, 17)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 15)","(30, 40)","(51, 51)","(73, 45)","(71, 23)","(55, 14)",,,,
"(31, 18)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(31, 18)","(32, 43)","(47, 51)","(71, 46)","(70, 22)","(51, 13)",,,,
"(32, 16)","(34, 44)","(48, 51)","(72, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 46)","(71, 22)","(54, 14)",,,,
"(33, 24)","(49, 17)","(66, 23)","(69, 43)","(51, 48)","(33, 38)",,,,
"(31, 18)","(32, 43)","(48, 51)","(71, 46)","(68, 20)","(54, 13)",,,,
"(31, 18)","(32, 43)","(48, 51)","(71, 46)","(70, 21)","(54, 13)",,,,
"(31, 18)","(31, 42)","(48, 51)","(70, 47)","(68, 20)","(54, 13)",,,,
"(33, 23)","(49, 17)","(66, 23)","(69, 42)","(51, 48)","(32, 36)",,,,
"(52, 13)","(31, 18)","(30, 41)","(47, 51)","(72, 44)","(71, 23)",,,,
"(52, 13)","(31, 18)","(30, 40)","(47, 51)","(72, 44)","(71, 23)",,,,
"(31, 17)","(31, 42)","(47, 51)","(73, 45)","(70, 22)","(55, 14)",,,,
"(31, 17)","(32, 43)","(47, 51)","(73, 45)","(70, 22)","(55, 14)",,,,
"(31, 18)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(53, 14)",,,,
"(31, 18)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(53, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(32, 17)","(31, 42)","(47, 51)","(71, 46)","(68, 21)","(54, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(71, 46)","(68, 21)","(54, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(34, 22)","(54, 17)","(67, 24)","(68, 43)","(44, 46)","(32, 37)",,,,
"(34, 22)","(54, 17)","(67, 24)","(68, 43)","(53, 48)","(32, 37)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 18)","(34, 44)","(47, 51)","(70, 47)","(70, 22)","(55, 14)",,,,
"(32, 16)","(34, 44)","(48, 51)","(70, 47)","(70, 22)","(55, 14)",,,,
"(32, 16)","(34, 44)","(48, 51)","(70, 47)","(70, 22)","(55, 14)",,,,
"(33, 23)","(50, 17)","(69, 26)","(68, 43)","(44, 46)","(32, 37)",,,,
"(33, 23)","(50, 17)","(69, 26)","(68, 43)","(44, 46)","(32, 37)",,,,
"(34, 23)","(49, 17)","(66, 23)","(69, 41)","(53, 48)","(32, 37)",,,,
"(34, 23)","(49, 17)","(66, 23)","(68, 43)","(53, 48)","(32, 37)",,,,
"(30, 19)","(32, 43)","(47, 51)","(72, 46)","(68, 21)","(53, 13)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(32, 43)","(47, 51)","(72, 46)","(69, 21)","(51, 13)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(53, 48)","(32, 37)",,,,
"(31, 18)","(32, 43)","(47, 51)","(72, 46)","(69, 21)","(54, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(30, 20)","(30, 40)","(47, 51)","(72, 46)","(70, 22)","(52, 13)",,,,
"(30, 20)","(30, 40)","(48, 51)","(72, 46)","(70, 22)","(52, 13)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(33, 23)","(49, 17)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 16)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(32, 16)","(31, 42)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(52, 48)","(32, 37)",,,,
"(32, 15)","(34, 44)","(48, 51)","(71, 46)","(69, 21)","(52, 13)",,,,
"(32, 16)","(34, 44)","(48, 51)","(71, 46)","(71, 22)","(54, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(71, 46)","(70, 21)","(54, 14)",,,,
"(30, 20)","(34, 44)","(48, 51)","(71, 46)","(71, 22)","(54, 14)",,,,
"(53, 16)","(69, 27)","(69, 41)","(49, 48)","(33, 38)","(32, 25)",,,,
"(30, 20)","(34, 44)","(47, 51)","(71, 46)","(70, 22)","(53, 14)",,,,
