"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(34, 20)","(52, 14)","(69, 26)","(68, 41)","(50, 46)","(36, 39)",2622s
"(32, 14)","(31, 40)","(48, 49)","(72, 44)","(68, 18)","(53, 11)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(32, 35)","(33, 22)",
"(30, 18)","(31, 40)","(48, 49)","(71, 44)","(70, 20)","(53, 11)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(32, 23)",
"(30, 18)","(31, 40)","(48, 49)","(71, 44)","(70, 20)","(53, 11)",
"(34, 20)","(50, 14)","(69, 24)","(68, 41)","(50, 46)","(36, 39)",
"(30, 18)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(51, 11)",
"(34, 20)","(50, 14)","(69, 24)","(69, 41)","(50, 46)","(33, 35)",
"(30, 18)","(30, 38)","(48, 49)","(71, 44)","(70, 20)","(51, 11)",
"(53, 14)","(68, 24)","(69, 40)","(50, 46)","(34, 37)","(33, 23)",
"(32, 15)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(55, 12)",
"(31, 17)","(30, 38)","(51, 49)","(73, 42)","(70, 20)","(53, 11)",
"(31, 17)","(30, 38)","(50, 49)","(73, 42)","(70, 20)","(53, 11)",
"(31, 17)","(33, 41)","(48, 49)","(73, 42)","(69, 19)","(53, 11)",
"(33, 21)","(49, 15)","(66, 21)","(69, 41)","(50, 46)","(33, 36)",
"(30, 18)","(30, 38)","(43, 47)","(73, 43)","(70, 20)","(51, 11)",
"(33, 21)","(49, 15)","(66, 21)","(69, 41)","(50, 46)","(33, 36)",
"(30, 18)","(30, 38)","(43, 47)","(73, 43)","(70, 19)","(51, 11)",
"(34, 20)","(53, 14)","(66, 21)","(68, 41)","(51, 46)","(36, 39)",
"(30, 18)","(31, 40)","(50, 49)","(70, 45)","(69, 19)","(53, 11)",
"(34, 20)","(53, 14)","(66, 21)","(68, 41)","(51, 46)","(36, 39)",
"(30, 18)","(31, 40)","(50, 49)","(70, 45)","(69, 19)","(53, 11)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(50, 46)","(33, 36)",
"(32, 14)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(55, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(50, 46)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(33, 22)","(52, 14)","(69, 26)","(68, 41)","(50, 46)","(33, 36)",
"(30, 18)","(31, 40)","(48, 49)","(73, 42)","(71, 20)","(54, 12)",
"(33, 22)","(55, 15)","(69, 24)","(68, 41)","(50, 46)","(33, 36)",
"(30, 18)","(31, 40)","(50, 49)","(73, 42)","(72, 22)","(49, 12)",
"(33, 22)","(55, 15)","(69, 24)","(68, 41)","(50, 46)","(33, 36)",
"(30, 18)","(31, 40)","(50, 49)","(73, 42)","(72, 22)","(49, 12)",
"(34, 21)","(52, 14)","(69, 25)","(68, 41)","(52, 46)","(33, 36)",
"(34, 21)","(52, 14)","(69, 25)","(68, 41)","(52, 46)","(33, 36)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(50, 46)","(33, 36)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(50, 46)","(33, 36)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(51, 46)","(32, 35)",
"(31, 16)","(32, 41)","(49, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 20)","(54, 15)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(31, 16)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 11)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 11)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 11)",
"(33, 21)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(31, 37)",
"(30, 19)","(33, 41)","(48, 49)","(72, 44)","(69, 19)","(53, 11)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(50, 46)","(32, 35)",
"(30, 19)","(33, 41)","(48, 49)","(72, 44)","(69, 19)","(53, 11)",
"(34, 20)","(54, 15)","(67, 22)","(68, 41)","(44, 44)","(32, 34)",
"(34, 20)","(53, 14)","(67, 22)","(68, 41)","(44, 44)","(32, 34)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 15)","(31, 40)","(50, 49)","(72, 44)","(71, 21)","(55, 12)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 15)","(31, 40)","(50, 49)","(72, 44)","(71, 21)","(55, 12)",
"(52, 11)","(32, 16)","(29, 38)","(48, 49)","(72, 42)","(71, 21)",
"(32, 14)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 14)","(33, 41)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 15)","(33, 42)","(48, 49)","(73, 43)","(69, 19)","(51, 11)",
"(30, 18)","(33, 41)","(50, 49)","(72, 44)","(69, 19)","(53, 11)",
"(52, 14)","(69, 24)","(69, 39)","(50, 46)","(34, 37)","(33, 23)",
"(31, 16)","(35, 42)","(48, 49)","(73, 42)","(69, 19)","(53, 11)",
"(32, 16)","(31, 40)","(48, 49)","(72, 43)","(69, 19)","(52, 11)",
"(32, 16)","(31, 40)","(48, 49)","(72, 43)","(69, 19)","(53, 11)",
"(32, 16)","(31, 40)","(48, 49)","(72, 43)","(71, 20)","(53, 11)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(32, 35)","(33, 22)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(50, 46)","(36, 39)",
"(32, 14)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 13)","(33, 41)","(48, 49)","(73, 42)","(75, 23)","(53, 11)",
"(33, 21)","(50, 14)","(69, 24)","(68, 41)","(53, 46)","(33, 36)",
"(32, 13)","(33, 41)","(48, 49)","(73, 42)","(69, 19)","(53, 11)",
"(34, 20)","(50, 14)","(69, 24)","(68, 41)","(44, 44)","(33, 36)",
