"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(46, 26)","(66, 21)","(78, 27)","(80, 47)","(62, 52)","(48, 45)",17s
"(46, 27)","(61, 21)","(78, 27)","(80, 47)","(62, 52)","(48, 45)",
"(44, 22)","(44, 47)","(60, 55)","(82, 52)","(82, 26)","(67, 18)",
"(46, 27)","(61, 21)","(78, 27)","(80, 47)","(64, 52)","(45, 41)",
"(65, 20)","(80, 29)","(81, 45)","(62, 52)","(45, 42)","(45, 28)",
"(44, 20)","(45, 47)","(60, 55)","(84, 50)","(82, 26)","(63, 17)",
"(44, 20)","(45, 47)","(60, 55)","(84, 50)","(82, 26)","(63, 17)",
"(43, 23)","(45, 47)","(60, 55)","(84, 50)","(83, 26)","(66, 18)",
"(43, 23)","(43, 46)","(60, 55)","(84, 50)","(81, 25)","(66, 18)",
"(46, 26)","(66, 21)","(78, 27)","(80, 47)","(62, 52)","(48, 45)",
"(46, 26)","(66, 21)","(78, 27)","(80, 47)","(62, 52)","(48, 45)",
"(42, 25)","(46, 48)","(60, 55)","(84, 50)","(83, 26)","(63, 17)",
