"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(194, 139)","(208, 134)","(225, 139)","(230, 158)","(210, 165)","(193, 154)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(230, 138)","(213, 130)"
"(213, 83)","(193, 86)","(179, 106)","(196, 126)","(219, 118)","(227, 103)"
"(81, 38)","(99, 48)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(81, 34)","(65, 45)","(60, 65)","(85, 75)","(103, 63)","(102, 49)"
"(80, 28)","(108, 44)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(230, 158)","(210, 165)","(193, 154)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(230, 138)","(213, 130)"
"(213, 83)","(193, 86)","(179, 106)","(196, 126)","(219, 118)","(227, 103)"
"(81, 38)","(99, 48)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(81, 34)","(65, 45)","(60, 65)","(85, 75)","(103, 63)","(102, 49)"
"(80, 28)","(108, 44)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(230, 138)","(213, 130)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(98, 63)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(53, 69)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(210, 165)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(230, 138)","(213, 130)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(219, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(53, 69)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(210, 165)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(230, 138)","(213, 130)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(219, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(53, 69)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(210, 165)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(53, 69)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(210, 165)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(210, 165)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(208, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(208, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 43)"
"(194, 139)","(208, 134)","(225, 139)","(229, 160)","(208, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(230, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(58, 42)"
"(194, 139)","(218, 135)","(229, 143)","(230, 158)","(214, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(58, 42)"
"(194, 139)","(218, 135)","(229, 143)","(230, 158)","(214, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(98, 63)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(58, 42)"
"(194, 139)","(218, 135)","(229, 143)","(230, 158)","(214, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(213, 83)","(193, 86)","(181, 105)","(196, 126)","(220, 118)","(227, 103)"
"(81, 38)","(99, 49)","(98, 63)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(58, 42)"
"(194, 139)","(218, 135)","(229, 143)","(230, 158)","(214, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(81, 38)","(99, 49)","(98, 63)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 44)"
"(194, 139)","(218, 135)","(229, 143)","(230, 158)","(214, 164)","(196, 158)"
"(192, 135)","(193, 160)","(207, 167)","(231, 164)","(231, 139)","(213, 130)"
"(213, 86)","(225, 99)","(222, 113)","(197, 122)","(183, 107)","(194, 90)"
"(81, 38)","(99, 49)","(99, 62)","(84, 71)","(64, 62)","(69, 47)"
"(80, 28)","(108, 45)","(108, 68)","(83, 82)","(54, 71)","(57, 44)"
