"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(34, 15)","(32, 37)","(54, 48)","(75, 40)","(71, 18)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 40)","(71, 18)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 40)","(72, 19)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 40)","(72, 19)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 40)","(72, 19)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 41)","(72, 19)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 41)","(72, 19)","(54, 10)"
"(34, 15)","(32, 37)","(54, 48)","(75, 41)","(72, 19)","(54, 10)"
"(32, 18)","(32, 37)","(49, 48)","(74, 43)","(72, 19)","(54, 10)"
"(32, 18)","(32, 37)","(49, 48)","(74, 43)","(72, 19)","(54, 10)"
"(34, 15)","(36, 41)","(49, 48)","(74, 43)","(72, 19)","(54, 10)"
"(32, 18)","(32, 37)","(49, 48)","(74, 43)","(72, 19)","(54, 10)"
"(32, 18)","(32, 37)","(49, 48)","(74, 43)","(72, 19)","(54, 10)"
"(34, 15)","(36, 41)","(49, 48)","(74, 43)","(71, 18)","(54, 10)"
"(34, 15)","(36, 41)","(50, 48)","(74, 43)","(71, 18)","(56, 11)"
"(34, 15)","(36, 41)","(49, 48)","(74, 43)","(71, 18)","(54, 10)"
"(32, 18)","(32, 37)","(49, 48)","(74, 43)","(71, 18)","(56, 11)"
"(34, 15)","(36, 41)","(50, 48)","(75, 41)","(71, 18)","(56, 11)"
"(34, 15)","(36, 41)","(50, 48)","(75, 41)","(71, 18)","(56, 11)"
"(34, 15)","(36, 41)","(50, 48)","(75, 41)","(71, 18)","(56, 11)"
"(34, 15)","(36, 41)","(50, 48)","(75, 41)","(72, 19)","(56, 11)"
"(34, 13)","(34, 40)","(50, 48)","(75, 41)","(72, 19)","(56, 11)"
"(34, 13)","(34, 40)","(50, 48)","(75, 41)","(72, 19)","(56, 11)"
"(34, 13)","(34, 40)","(50, 48)","(75, 41)","(72, 19)","(56, 11)"
