"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(25, 13)","(40, 8)","(60, 19)","(60, 32)","(42, 39)","(24, 29)"
"(25, 13)","(40, 8)","(60, 19)","(60, 32)","(42, 39)","(24, 29)"
"(25, 13)","(40, 8)","(54, 13)","(61, 32)","(44, 36)","(25, 26)"
"(25, 13)","(45, 8)","(57, 14)","(61, 32)","(41, 39)","(27, 33)"
"(25, 13)","(45, 8)","(57, 14)","(61, 32)","(41, 39)","(27, 33)"
"(25, 13)","(45, 8)","(57, 14)","(61, 32)","(41, 39)","(27, 33)"
"(45, 8)","(59, 17)","(61, 32)","(40, 41)","(25, 31)","(24, 15)"
"(25, 13)","(47, 9)","(59, 17)","(61, 32)","(42, 39)","(27, 33)"
"(25, 13)","(47, 9)","(59, 17)","(61, 32)","(42, 39)","(27, 33)"
"(25, 13)","(47, 9)","(59, 17)","(61, 32)","(42, 39)","(27, 33)"
"(22, 11)","(23, 34)","(38, 42)","(63, 37)","(62, 13)","(45, 5)"
"(22, 11)","(23, 34)","(38, 42)","(63, 37)","(62, 13)","(45, 5)"
"(21, 13)","(23, 34)","(38, 42)","(63, 37)","(62, 13)","(45, 5)"
"(25, 14)","(46, 8)","(59, 17)","(59, 34)","(46, 37)","(28, 27)"
"(25, 14)","(44, 8)","(57, 15)","(59, 34)","(46, 37)","(28, 27)"
"(25, 13)","(44, 8)","(57, 15)","(60, 34)","(45, 36)","(26, 26)"
"(21, 12)","(23, 34)","(38, 42)","(64, 36)","(62, 13)","(42, 4)"
"(25, 14)","(43, 8)","(57, 15)","(59, 34)","(45, 37)","(27, 27)"
"(25, 14)","(45, 8)","(57, 15)","(59, 34)","(45, 37)","(27, 27)"
"(24, 15)","(47, 9)","(59, 16)","(59, 34)","(40, 41)","(25, 31)"
"(24, 15)","(47, 9)","(60, 18)","(59, 34)","(41, 41)","(25, 31)"
"(25, 13)","(47, 9)","(60, 18)","(60, 34)","(41, 41)","(27, 33)"
"(25, 14)","(44, 8)","(59, 17)","(61, 32)","(41, 41)","(25, 31)"
"(24, 15)","(40, 8)","(60, 17)","(59, 34)","(44, 41)","(24, 29)"
"(25, 13)","(44, 8)","(57, 15)","(59, 34)","(41, 41)","(26, 32)"
"(22, 11)","(23, 34)","(38, 42)","(63, 37)","(60, 12)","(45, 5)"
"(24, 15)","(40, 8)","(57, 15)","(58, 36)","(40, 39)","(28, 33)"
"(25, 14)","(44, 8)","(57, 15)","(59, 34)","(40, 39)","(26, 32)"
"(22, 11)","(23, 34)","(38, 42)","(63, 37)","(60, 12)","(45, 5)"
"(46, 7)","(59, 17)","(61, 32)","(39, 39)","(25, 31)","(24, 15)"
"(24, 15)","(47, 9)","(59, 16)","(59, 34)","(41, 41)","(25, 31)"
"(22, 10)","(22, 33)","(38, 42)","(63, 37)","(60, 12)","(45, 5)"
"(22, 10)","(22, 33)","(39, 42)","(63, 37)","(60, 12)","(45, 5)"
"(21, 12)","(24, 34)","(38, 42)","(63, 37)","(60, 12)","(45, 5)"
"(25, 13)","(47, 8)","(59, 17)","(60, 34)","(39, 41)","(25, 31)"
"(24, 15)","(45, 8)","(59, 17)","(61, 32)","(41, 41)","(25, 31)"
"(25, 13)","(45, 8)","(60, 18)","(61, 32)","(41, 41)","(25, 31)"
"(25, 13)","(40, 8)","(60, 18)","(61, 32)","(41, 39)","(24, 29)"
"(25, 13)","(40, 8)","(60, 18)","(61, 32)","(41, 39)","(24, 29)"
"(44, 8)","(60, 17)","(61, 32)","(40, 41)","(24, 29)","(24, 15)"
"(25, 13)","(47, 9)","(59, 17)","(61, 32)","(40, 41)","(25, 31)"
"(22, 11)","(23, 34)","(38, 42)","(64, 35)","(60, 12)","(45, 5)"
"(22, 11)","(23, 34)","(38, 42)","(64, 35)","(62, 13)","(45, 5)"
"(22, 11)","(23, 34)","(39, 42)","(64, 35)","(62, 13)","(45, 5)"
"(22, 11)","(23, 34)","(38, 42)","(64, 35)","(62, 13)","(45, 5)"
