"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(75, 27)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(75, 27)","(82, 47)","(66, 53)","(48, 47)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(66, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(80, 26)","(65, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(67, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(67, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(67, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(67, 53)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 49)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(62, 54)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(62, 54)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(62, 54)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
"(46, 28)","(61, 23)","(77, 28)","(82, 47)","(62, 54)","(48, 47)"
"(44, 24)","(45, 49)","(59, 56)","(85, 50)","(82, 27)","(66, 19)"
