x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
40,109,67,137,47,129,80,128,58,100,109,40,60,118,3.1 km/h,2025:01:27_21:14,2025:01:27_21:14,33s,1.0,0.0,0.0,0.0
41,106,67,137,47,129,80,128,59,100,106,41,60,118,3.1 km/h,,,,,,,
42,105,67,137,47,129,80,128,58,100,105,42,60,118,3.1 km/h,,,,,,,
42,105,68,137,51,132,80,128,59,100,105,42,60,118,3.1 km/h,,,,,,,
42,105,67,137,48,130,80,128,57,99,105,42,60,118,3.1 km/h,,,,,,,
39,105,68,137,48,130,80,128,57,99,105,39,60,118,3.1 km/h,,,,,,,
39,105,68,137,48,130,80,128,59,100,105,39,60,118,3.1 km/h,,,,,,,
42,105,67,137,48,130,82,126,55,100,105,42,60,118,3.1 km/h,,,,,,,
42,105,67,137,50,131,80,128,57,99,105,42,60,118,3.1 km/h,,,,,,,
43,110,60,132,65,106,77,124,54,104,110,43,60,118,3.1 km/h,,,,,,,
44,110,62,133,49,125,76,126,62,105,110,44,60,118,3.1 km/h,,,,,,,
42,105,67,137,50,131,80,128,59,100,105,42,60,118,3.1 km/h,,,,,,,
45,108,66,133,48,124,76,126,63,105,108,45,60,118,3.1 km/h,,,,,,,
44,110,66,133,54,129,76,126,60,104,110,44,60,118,3.1 km/h,,,,,,,
42,105,67,137,48,130,81,126,59,100,105,42,60,118,3.1 km/h,,,,,,,
40,110,67,137,76,129,81,124,56,95,95,109,60,118,3.1 km/h,,,,,,,
40,110,67,137,76,128,81,125,57,93,93,109,60,118,3.1 km/h,,,,,,,
42,105,67,137,49,131,80,128,59,100,105,42,60,118,3.1 km/h,,,,,,,
43,110,63,133,49,125,77,124,60,104,110,43,60,117,3.1 km/h,,,,,,,
42,105,67,137,48,130,80,128,57,99,105,42,60,118,3.1 km/h,,,,,,,
42,105,67,137,48,130,80,108,56,99,105,42,60,118,3.1 km/h,,,,,,,
