x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
760,883,779,894,795,869,796,888,780,863,868,761,778,878,7.6 km/h,2025-02-12_14:05,2025-02-12_14:09,251s,1.0,0.0,0.0,0.0
757,865,778,897,759,888,798,891,781,860,865,757,648,784,7.6 km/h,,,,,,,
631,791,651,800,664,792,665,777,648,767,767,648,806,526,7.6 km/h,,,,,,,
760,883,779,894,794,869,796,888,780,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,778,897,759,888,798,891,781,860,865,757,648,784,7.6 km/h,,,,,,,
760,883,779,894,794,869,796,888,780,863,868,761,778,878,7.6 km/h,,,,,,,
746,833,790,855,755,851,794,825,781,812,816,758,771,833,7.6 km/h,,,,,,,
631,791,650,800,664,792,665,777,647,767,767,647,648,783,7.6 km/h,,,,,,,
792,532,813,543,800,800,822,521,812,512,513,513,806,526,7.6 km/h,,,,,,,
760,883,779,894,761,868,796,888,775,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,778,897,759,888,798,891,781,860,865,757,648,783,7.6 km/h,,,,,,,
760,883,779,894,761,868,796,888,775,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,778,897,759,888,798,891,781,860,865,757,648,783,7.6 km/h,,,,,,,
760,883,779,894,794,869,796,888,780,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,776,897,759,888,798,891,781,860,865,757,648,784,7.6 km/h,,,,,,,
631,791,650,800,664,792,665,777,648,767,767,648,697,303,7.6 km/h,,,,,,,
760,883,779,894,761,868,796,888,775,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,776,897,759,888,798,891,781,860,865,757,648,784,7.6 km/h,,,,,,,
631,791,650,800,664,792,665,777,648,767,767,648,180,116,7.6 km/h,,,,,,,
760,883,772,892,795,870,797,886,784,864,868,761,778,878,7.6 km/h,,,,,,,
757,865,774,897,759,888,798,891,777,859,865,757,648,784,7.6 km/h,,,,,,,
631,791,650,800,664,792,665,777,648,767,767,648,729,250,7.6 km/h,,,,,,,
760,883,779,894,794,869,797,887,780,863,868,761,778,878,7.6 km/h,,,,,,,
757,865,773,896,759,888,798,891,781,860,865,757,648,784,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,46,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,30,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,30,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,46,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,30,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,30,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,46,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,46,19,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,46,19,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,46,19,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,30,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,47,34,7.6 km/h,,,,,,,
30,38,49,50,31,31,66,43,46,19,25,25,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,47,19,26,24,47,34,7.6 km/h,,,,,,,
30,38,49,50,34,34,66,43,49,19,22,22,47,34,7.6 km/h,,,,,,,
30,38,49,50,34,34,66,43,49,19,22,22,47,34,7.6 km/h,,,,,,,
30,38,49,50,34,34,66,43,49,19,22,22,47,34,7.6 km/h,,,,,,,
30,38,49,50,34,34,66,43,49,19,22,22,47,34,7.6 km/h,,,,,,,
30,38,49,50,34,34,66,43,49,19,22,22,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,47,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,43,47,19,26,24,47,34,7.6 km/h,,,,,,,
30,38,49,50,31,31,66,43,46,19,25,25,48,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,66,42,53,20,26,27,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,54,20,26,27,48,33,7.6 km/h,,,,,,,
30,26,42,48,31,40,65,43,46,19,26,24,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,65,43,45,19,26,24,47,34,7.6 km/h,,,,,,,
30,26,42,48,30,39,65,43,45,19,26,24,47,34,7.6 km/h,,,,,,,
30,38,42,48,62,31,66,42,47,19,25,24,48,34,7.6 km/h,,,,,,,
30,38,40,47,62,31,65,44,46,19,25,24,47,34,7.6 km/h,,,,,,,
30,38,42,48,62,31,67,42,46,19,25,24,48,34,7.6 km/h,,,,,,,
30,38,42,48,62,31,67,42,46,19,25,24,48,34,7.6 km/h,,,,,,,
30,26,42,48,31,40,66,42,46,19,26,24,47,34,7.6 km/h,,,,,,,
