"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",2025:01:25_11:00,2025:01:25_17:16,22558s,1.0,0.0,0.0,0.0
"(46, 31)","(61, 25)","(77, 30)","(82, 50)","(56, 54)","(45, 45)","(63, 40)",,,,,,,
"(46, 31)","(61, 25)","(77, 30)","(82, 50)","(56, 54)","(45, 45)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 49)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 49)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(57, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(45, 46)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(45, 46)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(59, 55)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(81, 33)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(61, 56)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(61, 56)","(46, 47)","(63, 40)",,,,,,,
"(45, 32)","(67, 25)","(82, 35)","(82, 50)","(56, 54)","(46, 47)","(63, 40)",,,,,,,
"(43, 28)","(47, 52)","(59, 58)","(84, 53)","(82, 29)","(67, 22)","(63, 40)",,,,,,,
"(46, 31)","(61, 25)","(79, 31)","(81, 51)","(56, 54)","(45, 45)","(63, 40)",,,,,,,
"(46, 31)","(61, 25)","(79, 31)","(81, 51)","(56, 54)","(45, 45)","(63, 40)",,,,,,,
