"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",2025:01:25_01:15,2025:01:25_10:58,34997s,1.0,0.0,0.0,0.0
"(34, 26)","(50, 20)","(67, 26)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(67, 26)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(65, 25)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(70, 30)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(70, 30)","(70, 45)","(49, 51)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(49, 51)","(33, 40)","(51, 35)",,,,,,,
"(33, 28)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(44, 49)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(44, 49)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(44, 49)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(65, 25)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(65, 25)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(32, 22)","(31, 43)","(49, 54)","(73, 48)","(70, 24)","(54, 17)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(68, 27)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(70, 30)","(70, 45)","(49, 51)","(34, 42)","(51, 35)",,,,,,,
"(30, 25)","(31, 43)","(42, 51)","(73, 48)","(70, 24)","(50, 17)","(51, 35)",,,,,,,
"(32, 22)","(33, 46)","(49, 54)","(72, 49)","(69, 24)","(55, 17)","(51, 35)",,,,,,,
"(32, 22)","(33, 46)","(53, 54)","(73, 48)","(69, 24)","(55, 17)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(44, 49)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(56, 20)","(69, 28)","(70, 45)","(45, 49)","(33, 40)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(65, 25)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(50, 20)","(66, 25)","(70, 45)","(45, 49)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 28)","(70, 45)","(49, 51)","(34, 42)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(70, 30)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(34, 27)","(55, 20)","(69, 29)","(70, 45)","(47, 50)","(34, 42)","(51, 35)",,,,,,,
"(34, 26)","(50, 20)","(65, 25)","(70, 45)","(53, 51)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(68, 27)","(70, 45)","(44, 49)","(33, 40)","(51, 35)",,,,,,,
"(33, 27)","(55, 20)","(69, 29)","(70, 45)","(44, 49)","(34, 42)","(51, 35)",,,,,,,
