(x1,y1)	(x2,y2)	(x3,y3)	(x4,y4)	(x5,y5)	(x6,y6)	Start Time	Stop Time	Duration	FPS(Frame Per Second)	Red Warning	Orange Warning	Wind Warning
(40, 34)	(42, 57)	(61, 65)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(55, 64)	(81, 60)	(80, 36)	(64, 28)
(43, 37)	(59, 31)	(74, 36)	(78, 57)	(54, 60)	(42, 52)
(40, 34)	(42, 57)	(55, 64)	(81, 60)	(80, 36)	(64, 28)
(63, 27)	(40, 34)	(39, 53)	(55, 64)	(82, 58)	(81, 38)
(41, 32)	(42, 57)	(62, 65)	(80, 61)	(78, 35)	(65, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(64, 28)
(41, 32)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(65, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(56, 64)	(81, 60)	(79, 35)	(64, 28)
(40, 34)	(42, 57)	(62, 65)	(82, 58)	(80, 36)	(65, 28)
(40, 34)	(42, 57)	(59, 65)	(81, 60)	(78, 35)	(65, 28)
(40, 34)	(42, 57)	(59, 65)	(81, 60)	(78, 35)	(65, 28)
(41, 32)	(42, 57)	(56, 64)	(82, 58)	(80, 36)	(64, 28)
(41, 32)	(42, 57)	(56, 64)	(79, 61)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(56, 64)	(82, 58)	(80, 36)	(65, 28)
(40, 34)	(42, 57)	(62, 65)	(81, 60)	(78, 35)	(64, 28)
(40, 34)	(42, 57)	(55, 64)	(82, 58)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(55, 64)	(82, 58)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(55, 64)	(81, 60)	(80, 36)	(64, 28)
(40, 34)	(42, 57)	(55, 64)	(81, 60)	(80, 36)	(64, 28)
(63, 27)	(40, 34)	(40, 55)	(56, 64)	(82, 58)	(81, 37)
(41, 32)	(42, 57)	(56, 64)	(82, 58)	(80, 36)	(64, 28)
(41, 32)	(42, 57)	(56, 64)	(82, 58)	(80, 36)	(65, 28)
(41, 32)	(42, 57)	(58, 65)	(81, 60)	(80, 36)	(64, 28)
(41, 32)	(42, 57)	(55, 64)	(81, 60)	(80, 36)	(62, 27)
						2025:01:23_16:54	2025:01:23_16:54	33s	1	0	0	0
