"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(53, 31)","(68, 26)","(87, 34)","(89, 50)","(69, 57)","(56, 51)",53s
"(49, 30)","(51, 52)","(65, 59)","(91, 53)","(87, 29)","(67, 23)",
"(73, 22)","(49, 30)","(50, 51)","(65, 59)","(91, 53)","(91, 34)",
"(53, 32)","(68, 26)","(88, 35)","(87, 52)","(69, 57)","(56, 51)",
"(73, 22)","(49, 30)","(49, 50)","(65, 59)","(91, 53)","(90, 32)",
"(53, 32)","(68, 26)","(88, 35)","(87, 52)","(69, 57)","(56, 51)",
"(51, 27)","(49, 50)","(65, 59)","(89, 56)","(89, 30)","(72, 22)",
"(50, 28)","(52, 52)","(65, 59)","(91, 53)","(89, 30)","(73, 22)",
"(53, 31)","(68, 26)","(82, 30)","(89, 50)","(69, 57)","(52, 47)",
"(52, 33)","(74, 26)","(88, 35)","(87, 52)","(69, 57)","(51, 46)",
