"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(254, 186)","(242, 178)",2025:01:23_21:51,2025:01:23_21:52,26s,1.0,0.0,0.0,0.0
"(240, 160)","(241, 182)","(256, 190)","(282, 184)","(280, 162)","(264, 154)",,,,,,,
"(133, 60)","(147, 69)","(148, 85)","(130, 94)","(116, 89)","(114, 79)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(254, 186)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(282, 184)","(280, 162)","(264, 154)",,,,,,,
"(129, 57)","(112, 71)","(110, 90)","(135, 98)","(152, 86)","(150, 67)",,,,,,,
"(243, 163)","(258, 157)","(275, 162)","(278, 184)","(258, 188)","(245, 181)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(280, 187)","(280, 162)","(264, 154)",,,,,,,
"(131, 60)","(148, 70)","(147, 88)","(133, 94)","(113, 85)","(118, 69)",,,,,,,
"(128, 57)","(114, 68)","(110, 89)","(136, 98)","(151, 89)","(149, 66)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(278, 184)","(258, 188)","(245, 181)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(278, 184)","(256, 187)","(245, 181)",,,,,,,
"(240, 160)","(244, 184)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(278, 184)","(256, 187)","(245, 181)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(280, 187)","(280, 162)","(263, 154)",,,,,,,
"(130, 57)","(113, 69)","(110, 89)","(134, 98)","(149, 90)","(150, 67)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(260, 188)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(281, 185)","(278, 161)","(264, 154)",,,,,,,
"(129, 57)","(114, 69)","(109, 89)","(136, 98)","(152, 88)","(150, 67)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(260, 188)","(242, 178)",,,,,,,
"(240, 160)","(246, 185)","(263, 190)","(282, 184)","(278, 161)","(264, 154)",,,,,,,
"(130, 51)","(158, 64)","(158, 90)","(133, 105)","(103, 93)","(107, 66)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(260, 188)","(242, 178)",,,,,,,
"(240, 160)","(246, 185)","(263, 190)","(282, 184)","(280, 162)","(264, 154)",,,,,,,
"(129, 57)","(113, 70)","(109, 89)","(135, 98)","(152, 87)","(151, 72)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(254, 186)","(242, 178)",,,,,,,
"(240, 160)","(246, 185)","(263, 190)","(282, 184)","(280, 162)","(264, 154)",,,,,,,
"(132, 60)","(148, 69)","(148, 88)","(136, 94)","(113, 85)","(119, 68)",,,,,,,
"(130, 57)","(110, 72)","(109, 86)","(136, 98)","(152, 87)","(149, 66)",,,,,,,
"(243, 163)","(258, 157)","(279, 166)","(279, 182)","(254, 186)","(242, 178)",,,,,,,
"(240, 160)","(246, 185)","(263, 190)","(282, 184)","(280, 162)","(264, 154)",,,,,,,
"(243, 163)","(257, 157)","(276, 163)","(279, 182)","(252, 185)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(131, 61)","(147, 65)","(148, 88)","(133, 94)","(113, 85)","(117, 72)",,,,,,,
"(129, 57)","(111, 71)","(111, 90)","(135, 98)","(152, 86)","(150, 67)",,,,,,,
"(243, 163)","(257, 157)","(276, 163)","(279, 182)","(259, 188)","(242, 178)",,,,,,,
"(240, 160)","(243, 183)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(131, 60)","(148, 68)","(147, 89)","(134, 94)","(114, 84)","(121, 66)",,,,,,,
"(129, 57)","(113, 70)","(110, 87)","(135, 98)","(152, 86)","(149, 66)",,,,,,,
"(243, 163)","(257, 157)","(276, 163)","(279, 182)","(254, 186)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(130, 61)","(148, 71)","(148, 86)","(133, 94)","(114, 86)","(119, 68)",,,,,,,
"(124, 59)","(114, 69)","(111, 90)","(136, 98)","(152, 87)","(149, 66)",,,,,,,
"(128, 51)","(158, 65)","(158, 90)","(132, 105)","(103, 93)","(102, 72)",,,,,,,
"(243, 163)","(257, 157)","(276, 163)","(279, 182)","(254, 186)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(281, 185)","(280, 162)","(264, 154)",,,,,,,
"(130, 51)","(158, 68)","(158, 90)","(132, 105)","(103, 93)","(107, 64)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(279, 182)","(259, 188)","(242, 178)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(280, 187)","(281, 163)","(264, 154)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(278, 184)","(259, 188)","(245, 181)",,,,,,,
"(240, 160)","(241, 182)","(256, 190)","(280, 187)","(277, 160)","(263, 154)",,,,,,,
"(243, 163)","(258, 157)","(276, 163)","(278, 184)","(259, 188)","(245, 181)",,,,,,,
