"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(187, 145)","(188, 169)","(203, 177)","(227, 172)","(225, 147)","(208, 139)",2025:01:23_21:46,2025:01:23_21:46,10s,1.0,0.0,0.0,0.0
"(189, 149)","(209, 143)","(223, 151)","(225, 167)","(201, 172)","(188, 163)",,,,,,,
"(187, 145)","(188, 169)","(203, 177)","(227, 171)","(225, 147)","(209, 139)",,,,,,,
"(189, 149)","(209, 143)","(223, 151)","(225, 167)","(201, 172)","(188, 163)",,,,,,,
"(187, 145)","(188, 169)","(203, 177)","(228, 171)","(225, 147)","(209, 139)",,,,,,,
"(189, 149)","(209, 143)","(223, 151)","(225, 167)","(201, 172)","(188, 163)",,,,,,,
"(209, 139)","(189, 143)","(186, 167)","(203, 177)","(228, 170)","(228, 151)",,,,,,,
"(189, 149)","(209, 143)","(223, 151)","(225, 167)","(201, 172)","(188, 163)",,,,,,,
"(209, 139)","(189, 143)","(186, 167)","(203, 177)","(228, 170)","(228, 151)",,,,,,,
"(190, 148)","(205, 143)","(225, 153)","(225, 167)","(210, 173)","(188, 163)",,,,,,,
"(187, 145)","(188, 169)","(203, 177)","(227, 172)","(225, 147)","(210, 140)",,,,,,,
"(190, 148)","(209, 143)","(223, 150)","(225, 167)","(210, 173)","(188, 163)",,,,,,,
"(187, 145)","(188, 169)","(203, 177)","(227, 172)","(225, 147)","(206, 139)",,,,,,,
