"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(45, 40)","(68, 35)","(81, 45)","(80, 60)","(61, 65)","(48, 59)"
"(66, 30)","(43, 35)","(42, 58)","(61, 68)","(84, 62)","(84, 42)"
"(66, 30)","(44, 35)","(43, 59)","(61, 68)","(84, 62)","(84, 42)"
"(83, 39)","(66, 30)","(45, 34)","(41, 56)","(57, 67)","(82, 64)"
"(43, 35)","(45, 61)","(59, 68)","(82, 65)","(83, 39)","(66, 31)"
"(43, 36)","(45, 61)","(60, 68)","(83, 64)","(80, 38)","(66, 31)"
"(45, 40)","(61, 34)","(81, 45)","(80, 60)","(61, 65)","(47, 58)"
"(44, 35)","(44, 60)","(61, 68)","(82, 65)","(81, 38)","(66, 31)"
"(45, 40)","(62, 34)","(81, 45)","(80, 60)","(61, 65)","(47, 58)"
"(65, 30)","(44, 35)","(42, 58)","(62, 68)","(84, 61)","(84, 42)"
"(42, 37)","(41, 57)","(64, 68)","(84, 61)","(80, 38)","(66, 31)"
"(43, 36)","(44, 60)","(59, 68)","(84, 61)","(82, 39)","(65, 30)"
"(42, 37)","(45, 61)","(60, 68)","(83, 63)","(82, 39)","(66, 31)"
"(43, 35)","(45, 61)","(60, 68)","(82, 65)","(82, 39)","(66, 31)"
"(42, 39)","(41, 57)","(59, 68)","(84, 62)","(83, 39)","(66, 31)"
"(65, 30)","(42, 37)","(41, 56)","(57, 67)","(84, 62)","(82, 39)"
"(42, 37)","(41, 56)","(60, 68)","(83, 63)","(82, 39)","(66, 31)"
"(44, 35)","(44, 60)","(60, 68)","(84, 62)","(81, 38)","(66, 31)"
"(42, 37)","(45, 61)","(60, 68)","(84, 62)","(82, 39)","(66, 31)"
"(44, 42)","(66, 34)","(80, 43)","(81, 58)","(64, 65)","(45, 56)"
"(65, 30)","(46, 34)","(42, 58)","(63, 68)","(84, 62)","(83, 39)"
"(45, 40)","(62, 34)","(81, 45)","(80, 60)","(64, 65)","(44, 55)"
"(43, 36)","(45, 61)","(60, 68)","(82, 65)","(80, 38)","(66, 31)"
"(42, 39)","(45, 61)","(58, 68)","(83, 64)","(82, 40)","(66, 31)"
"(44, 35)","(45, 61)","(61, 68)","(82, 65)","(83, 39)","(66, 31)"
