"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(172, 172)","(193, 165)","(208, 175)","(208, 189)","(184, 194)","(171, 185)",2025:01:23_21:53,2025:01:23_21:53,8s,1.0,0.0,0.0,0.0
"(170, 167)","(171, 191)","(184, 198)","(210, 194)","(206, 168)","(193, 162)",,,,,,,
"(170, 167)","(171, 191)","(184, 198)","(211, 192)","(207, 169)","(193, 162)",,,,,,,
"(170, 167)","(171, 191)","(184, 198)","(211, 192)","(208, 169)","(193, 162)",,,,,,,
"(191, 117)","(204, 137)","(198, 146)","(175, 153)","(162, 140)","(172, 121)",,,,,,,
"(170, 167)","(171, 191)","(184, 198)","(210, 194)","(208, 169)","(193, 162)",,,,,,,
"(170, 167)","(171, 191)","(184, 198)","(210, 194)","(208, 169)","(193, 162)",,,,,,,
