"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(158, 118)","(159, 141)","(174, 149)","(200, 143)","(198, 121)","(182, 113)",2025:01:23_21:49,2025:01:23_21:49,8s,1.0,0.0,0.0,0.0
"(158, 118)","(159, 141)","(174, 149)","(199, 145)","(198, 121)","(182, 113)",,,,,,,
"(51, 16)","(31, 29)","(28, 48)","(40, 56)","(70, 46)","(68, 27)",,,,,,,
"(158, 118)","(159, 141)","(174, 149)","(199, 145)","(198, 121)","(182, 113)",,,,,,,
"(158, 119)","(159, 141)","(174, 149)","(199, 144)","(198, 121)","(182, 113)",,,,,,,
