"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(61, 37)","(76, 31)","(93, 37)","(95, 57)","(77, 62)","(60, 52)"
"(81, 27)","(57, 35)","(58, 56)","(72, 64)","(99, 58)","(99, 38)"
"(61, 37)","(76, 31)","(93, 37)","(95, 57)","(77, 62)","(64, 56)"
"(57, 35)","(59, 57)","(73, 64)","(99, 58)","(95, 34)","(75, 28)"
"(58, 33)","(59, 57)","(73, 64)","(98, 60)","(97, 35)","(80, 27)"
"(61, 37)","(75, 31)","(93, 37)","(95, 57)","(77, 62)","(64, 56)"
"(81, 27)","(57, 35)","(56, 54)","(73, 64)","(99, 58)","(99, 38)"
"(57, 35)","(59, 57)","(74, 65)","(97, 62)","(98, 36)","(78, 27)"
"(58, 33)","(59, 57)","(78, 65)","(97, 62)","(97, 36)","(81, 28)"
"(81, 27)","(57, 35)","(57, 54)","(73, 64)","(99, 58)","(97, 35)"
"(57, 35)","(60, 57)","(73, 64)","(98, 60)","(97, 35)","(81, 27)"
"(57, 35)","(59, 57)","(79, 65)","(98, 60)","(97, 35)","(81, 27)"
