"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",2025:01:23_22:02,2025:01:23_22:02,32s,1.0,0.0,0.0,0.0
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(219, 133)",,,,,,,
"(86, 40)","(103, 51)","(103, 64)","(88, 73)","(69, 65)","(71, 52)",,,,,,,
"(86, 36)","(67, 49)","(64, 67)","(89, 77)","(107, 65)","(102, 44)",,,,,,,
"(85, 30)","(113, 46)","(112, 69)","(87, 84)","(58, 71)","(62, 45)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(219, 133)",,,,,,,
"(218, 85)","(197, 88)","(185, 108)","(200, 127)","(223, 121)","(232, 98)",,,,,,,
"(86, 36)","(67, 49)","(64, 67)","(90, 77)","(107, 65)","(102, 44)",,,,,,,
"(84, 30)","(113, 46)","(113, 68)","(88, 84)","(58, 71)","(62, 45)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(218, 132)","(195, 140)","(195, 159)","(212, 170)","(237, 163)","(236, 142)",,,,,,,
"(217, 88)","(228, 99)","(226, 111)","(201, 124)","(188, 111)","(198, 92)",,,,,,,
"(216, 84)","(196, 89)","(185, 106)","(200, 127)","(222, 122)","(232, 104)",,,,,,,
"(85, 39)","(103, 51)","(102, 65)","(90, 73)","(68, 64)","(73, 50)",,,,,,,
"(86, 36)","(68, 49)","(64, 67)","(89, 77)","(106, 66)","(102, 44)",,,,,,,
"(85, 30)","(113, 46)","(112, 69)","(87, 84)","(58, 72)","(60, 47)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(218, 132)","(195, 140)","(195, 159)","(212, 170)","(237, 163)","(236, 142)",,,,,,,
"(218, 88)","(228, 99)","(225, 113)","(199, 123)","(188, 111)","(200, 91)",,,,,,,
"(217, 84)","(193, 91)","(184, 108)","(200, 127)","(221, 122)","(232, 104)",,,,,,,
"(85, 40)","(101, 47)","(103, 64)","(89, 73)","(68, 64)","(73, 50)",,,,,,,
"(85, 36)","(68, 49)","(64, 68)","(89, 77)","(108, 64)","(104, 45)",,,,,,,
"(85, 30)","(113, 46)","(111, 70)","(87, 84)","(58, 71)","(61, 46)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 88)","(228, 99)","(225, 113)","(199, 123)","(188, 111)","(200, 91)",,,,,,,
"(218, 85)","(197, 88)","(184, 108)","(200, 127)","(222, 122)","(232, 99)",,,,,,,
"(85, 40)","(103, 50)","(103, 64)","(90, 73)","(69, 64)","(72, 50)",,,,,,,
"(85, 36)","(69, 47)","(65, 66)","(90, 76)","(107, 66)","(104, 45)",,,,,,,
"(85, 30)","(113, 46)","(113, 68)","(88, 84)","(58, 71)","(61, 46)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(233, 139)","(218, 132)",,,,,,,
"(85, 40)","(103, 50)","(103, 64)","(89, 73)","(69, 64)","(71, 51)",,,,,,,
"(85, 36)","(68, 48)","(65, 66)","(91, 76)","(107, 66)","(106, 47)",,,,,,,
"(85, 30)","(113, 46)","(112, 69)","(87, 84)","(58, 71)","(62, 45)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(209, 165)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(217, 132)",,,,,,,
"(84, 40)","(103, 50)","(103, 63)","(88, 73)","(69, 65)","(72, 51)",,,,,,,
"(86, 36)","(68, 49)","(64, 67)","(91, 76)","(107, 60)","(105, 47)",,,,,,,
"(88, 30)","(112, 44)","(109, 72)","(83, 83)","(58, 66)","(61, 46)",,,,,,,
"(197, 143)","(219, 136)","(232, 143)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(218, 132)","(195, 140)","(195, 159)","(211, 169)","(237, 163)","(236, 142)",,,,,,,
"(218, 88)","(228, 107)","(221, 118)","(200, 124)","(188, 108)","(200, 91)",,,,,,,
"(219, 85)","(197, 88)","(182, 109)","(200, 127)","(223, 121)","(232, 99)",,,,,,,
"(85, 40)","(103, 50)","(102, 65)","(88, 73)","(68, 64)","(75, 47)",,,,,,,
"(85, 36)","(69, 48)","(64, 68)","(90, 76)","(107, 59)","(105, 47)",,,,,,,
"(85, 30)","(113, 46)","(112, 69)","(87, 84)","(58, 71)","(61, 47)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(219, 133)",,,,,,,
"(86, 40)","(99, 46)","(103, 64)","(90, 73)","(68, 64)","(72, 51)",,,,,,,
"(86, 36)","(69, 48)","(65, 68)","(90, 77)","(107, 65)","(106, 53)",,,,,,,
"(85, 30)","(113, 46)","(112, 69)","(87, 84)","(58, 72)","(62, 45)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(219, 133)",,,,,,,
"(86, 36)","(69, 47)","(65, 67)","(90, 77)","(107, 65)","(106, 52)",,,,,,,
"(85, 30)","(108, 41)","(113, 68)","(87, 84)","(58, 72)","(63, 44)",,,,,,,
"(198, 142)","(219, 136)","(234, 146)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 85)","(196, 89)","(182, 108)","(200, 127)","(222, 122)","(232, 99)",,,,,,,
"(85, 40)","(103, 50)","(103, 65)","(89, 73)","(68, 64)","(73, 50)",,,,,,,
"(85, 36)","(68, 49)","(64, 66)","(89, 77)","(106, 67)","(102, 44)",,,,,,,
"(84, 30)","(113, 47)","(111, 70)","(87, 84)","(58, 72)","(62, 45)",,,,,,,
"(116, 43)","(85, 27)","(65, 37)","(53, 78)","(86, 87)","(109, 80)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(84, 40)","(103, 50)","(103, 64)","(88, 73)","(68, 64)","(73, 49)",,,,,,,
"(85, 36)","(68, 49)","(64, 66)","(89, 77)","(106, 67)","(102, 44)",,,,,,,
"(84, 30)","(113, 47)","(112, 69)","(87, 84)","(58, 72)","(62, 45)",,,,,,,
"(85, 27)","(56, 44)","(53, 76)","(88, 87)","(116, 73)","(116, 43)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(195, 140)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(86, 40)","(103, 51)","(103, 64)","(89, 73)","(68, 64)","(73, 50)",,,,,,,
"(85, 36)","(67, 50)","(65, 67)","(88, 77)","(107, 65)","(106, 48)",,,,,,,
"(85, 30)","(113, 46)","(111, 70)","(87, 84)","(58, 71)","(62, 46)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(195, 140)","(198, 162)","(210, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(85, 40)","(103, 50)","(103, 64)","(89, 73)","(69, 64)","(71, 53)",,,,,,,
"(85, 36)","(68, 49)","(65, 66)","(90, 77)","(107, 65)","(106, 50)",,,,,,,
"(85, 30)","(113, 45)","(111, 70)","(87, 84)","(58, 71)","(62, 46)",,,,,,,
"(198, 142)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(197, 156)",,,,,,,
"(195, 140)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(217, 132)",,,,,,,
"(87, 40)","(103, 50)","(103, 64)","(89, 73)","(69, 64)","(73, 50)",,,,,,,
"(86, 36)","(69, 48)","(64, 66)","(90, 77)","(107, 65)","(106, 50)",,,,,,,
"(85, 30)","(113, 46)","(111, 70)","(87, 84)","(58, 72)","(63, 44)",,,,,,,
"(197, 143)","(219, 136)","(233, 145)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 88)","(228, 107)","(218, 122)","(201, 124)","(188, 111)","(198, 92)",,,,,,,
"(86, 36)","(68, 49)","(64, 66)","(89, 77)","(106, 66)","(106, 48)",,,,,,,
"(85, 30)","(113, 46)","(113, 68)","(87, 84)","(58, 72)","(62, 45)",,,,,,,
"(197, 143)","(219, 136)","(234, 146)","(234, 160)","(212, 166)","(198, 158)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 88)","(228, 107)","(218, 120)","(201, 124)","(188, 111)","(198, 92)",,,,,,,
"(86, 36)","(67, 51)","(65, 68)","(89, 77)","(106, 66)","(106, 48)",,,,,,,
"(85, 30)","(113, 46)","(113, 68)","(87, 84)","(58, 71)","(62, 45)",,,,,,,
"(56, 44)","(54, 78)","(89, 87)","(116, 74)","(116, 43)","(95, 30)",,,,,,,
"(199, 141)","(213, 136)","(229, 141)","(234, 160)","(218, 166)","(197, 156)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 88)","(228, 107)","(218, 120)","(200, 124)","(188, 111)","(199, 92)",,,,,,,
"(89, 40)","(103, 50)","(104, 61)","(86, 74)","(68, 63)","(73, 49)",,,,,,,
"(86, 36)","(69, 47)","(65, 67)","(90, 77)","(107, 60)","(105, 47)",,,,,,,
"(86, 30)","(113, 46)","(111, 70)","(87, 84)","(58, 71)","(61, 46)",,,,,,,
"(199, 141)","(213, 136)","(229, 141)","(234, 160)","(218, 166)","(197, 156)",,,,,,,
"(196, 138)","(198, 162)","(211, 169)","(236, 165)","(234, 140)","(218, 132)",,,,,,,
"(218, 88)","(228, 107)","(218, 120)","(200, 124)","(188, 111)","(198, 92)",,,,,,,
"(86, 40)","(103, 50)","(104, 62)","(88, 73)","(68, 64)","(73, 49)",,,,,,,
