(x1y1),(x2,y2),(x3,y3),(x4,y4),(x5,y5),(x6,y6),"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second),Red Warning,Orange Warning,Wind Warning
"(27, 29)","(27, 54)","(46, 62)","(67, 55)","(65, 33)","(48, 24)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2025:01:23_16:45,2025:01:23_16:45,3s,1.0,0.0,0.0,0.0
