"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(178, 139)","(193, 134)","(209, 139)","(214, 159)","(189, 163)","(177, 154)",2025:01:23_21:31,2025:01:23_21:32,31s,1.0,0.0,0.0,0.0
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(199, 131)",,,,,,,
"(197, 83)","(178, 86)","(166, 105)","(180, 125)","(201, 120)","(211, 103)",,,,,,,
"(178, 139)","(199, 134)","(211, 140)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(199, 131)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(51, 47)","(70, 38)","(83, 47)","(84, 65)","(68, 71)","(51, 65)",,,,,,,
"(65, 34)","(50, 45)","(45, 61)","(59, 74)","(87, 64)","(85, 45)",,,,,,,
"(178, 139)","(193, 134)","(214, 143)","(213, 160)","(194, 165)","(180, 158)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(199, 131)",,,,,,,
"(178, 139)","(199, 134)","(211, 140)","(213, 160)","(194, 165)","(180, 158)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(199, 131)",,,,,,,
"(70, 38)","(85, 49)","(81, 65)","(67, 72)","(49, 64)","(49, 48)",,,,,,,
"(65, 35)","(51, 44)","(45, 64)","(69, 75)","(87, 58)","(85, 45)",,,,,,,
"(65, 28)","(93, 43)","(93, 67)","(68, 82)","(38, 70)","(38, 43)",,,,,,,
"(178, 139)","(193, 134)","(214, 143)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(216, 163)","(213, 138)","(198, 131)",,,,,,,
"(199, 87)","(209, 98)","(206, 110)","(180, 122)","(167, 108)","(179, 89)",,,,,,,
"(198, 83)","(177, 87)","(167, 103)","(179, 125)","(205, 119)","(212, 97)",,,,,,,
"(178, 139)","(193, 134)","(214, 143)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(216, 163)","(213, 138)","(198, 131)",,,,,,,
"(199, 87)","(209, 98)","(206, 110)","(180, 122)","(167, 108)","(179, 89)",,,,,,,
"(198, 83)","(178, 86)","(162, 105)","(179, 125)","(206, 115)","(212, 96)",,,,,,,
"(178, 139)","(193, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(198, 83)","(177, 87)","(165, 110)","(180, 125)","(202, 120)","(212, 101)",,,,,,,
"(51, 45)","(63, 37)","(80, 43)","(86, 62)","(70, 71)","(52, 66)",,,,,,,
"(65, 34)","(50, 45)","(45, 63)","(69, 75)","(88, 63)","(85, 45)",,,,,,,
"(178, 139)","(193, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(64, 36)","(81, 45)","(86, 58)","(69, 71)","(48, 62)","(52, 45)",,,,,,,
"(65, 34)","(48, 47)","(45, 65)","(70, 74)","(88, 63)","(85, 45)",,,,,,,
"(178, 139)","(193, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(178, 139)","(193, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(216, 163)","(213, 138)","(198, 131)",,,,,,,
"(197, 86)","(209, 106)","(201, 116)","(181, 122)","(168, 109)","(179, 89)",,,,,,,
"(197, 83)","(178, 86)","(165, 107)","(180, 125)","(201, 120)","(212, 97)",,,,,,,
"(64, 36)","(85, 48)","(82, 65)","(69, 71)","(47, 62)","(53, 45)",,,,,,,
"(178, 139)","(193, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(216, 163)","(213, 138)","(198, 131)",,,,,,,
"(199, 87)","(209, 99)","(201, 116)","(180, 122)","(168, 109)","(179, 89)",,,,,,,
"(197, 83)","(178, 86)","(165, 107)","(180, 125)","(201, 120)","(212, 97)",,,,,,,
"(178, 139)","(196, 133)","(214, 144)","(213, 160)","(192, 164)","(180, 158)",,,,,,,
"(175, 137)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(65, 34)","(48, 46)","(45, 64)","(70, 74)","(87, 58)","(85, 45)",,,,,,,
"(178, 139)","(196, 133)","(209, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(175, 137)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(198, 131)",,,,,,,
"(178, 139)","(192, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(212, 137)","(198, 131)",,,,,,,
"(196, 85)","(209, 98)","(198, 118)","(180, 122)","(169, 104)","(179, 89)",,,,,,,
"(198, 83)","(177, 87)","(160, 107)","(180, 125)","(206, 121)","(211, 96)",,,,,,,
"(63, 37)","(85, 47)","(84, 63)","(70, 71)","(48, 62)","(52, 45)",,,,,,,
"(178, 139)","(192, 134)","(210, 139)","(214, 159)","(187, 162)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(212, 137)","(198, 131)",,,,,,,
"(48, 50)","(71, 38)","(84, 47)","(87, 61)","(64, 71)","(49, 64)",,,,,,,
"(65, 34)","(50, 45)","(45, 64)","(69, 75)","(87, 56)","(85, 45)",,,,,,,
"(178, 139)","(202, 135)","(214, 144)","(214, 158)","(189, 163)","(177, 154)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(213, 138)","(199, 131)",,,,,,,
"(200, 84)","(177, 87)","(165, 104)","(178, 124)","(205, 116)","(212, 100)",,,,,,,
"(176, 136)","(178, 160)","(191, 167)","(217, 161)","(214, 138)","(198, 131)",,,,,,,
"(197, 83)","(177, 87)","(165, 104)","(180, 125)","(202, 120)","(211, 104)",,,,,,,
"(48, 47)","(71, 38)","(82, 46)","(84, 62)","(69, 71)","(48, 67)",,,,,,,
"(65, 34)","(48, 47)","(45, 66)","(69, 74)","(84, 67)","(85, 45)",,,,,,,
