"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(199, 133)","(220, 128)","(235, 135)","(237, 156)","(214, 160)","(201, 153)",2025:01:23_21:26,2025:01:23_21:27,25s,1.0,0.0,0.0,0.0
"(198, 131)","(198, 153)","(214, 162)","(239, 160)","(237, 135)","(219, 125)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 155)","(211, 159)","(198, 149)",,,,,,,
"(198, 131)","(198, 153)","(214, 162)","(239, 160)","(237, 135)","(219, 125)",,,,,,,
"(195, 130)","(199, 154)","(214, 162)","(238, 157)","(236, 134)","(219, 126)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 155)","(216, 161)","(201, 153)",,,,,,,
"(195, 130)","(199, 154)","(214, 162)","(238, 157)","(237, 135)","(219, 126)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 156)","(216, 161)","(200, 153)",,,,,,,
"(197, 131)","(199, 154)","(215, 162)","(238, 157)","(234, 133)","(219, 126)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 156)","(216, 161)","(200, 153)",,,,,,,
"(197, 131)","(199, 154)","(215, 162)","(238, 157)","(238, 135)","(220, 126)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 156)","(214, 160)","(198, 150)",,,,,,,
"(219, 80)","(230, 91)","(228, 112)","(203, 118)","(187, 105)","(200, 84)",,,,,,,
"(199, 133)","(216, 128)","(231, 133)","(237, 156)","(214, 160)","(198, 150)",,,,,,,
"(195, 130)","(199, 154)","(215, 162)","(238, 158)","(236, 134)","(219, 126)",,,,,,,
"(199, 133)","(216, 128)","(231, 133)","(237, 156)","(214, 160)","(199, 151)",,,,,,,
"(88, 22)","(116, 39)","(115, 63)","(88, 78)","(57, 64)","(60, 43)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 155)","(220, 160)","(198, 149)",,,,,,,
"(198, 131)","(199, 154)","(215, 162)","(238, 158)","(237, 135)","(219, 125)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 155)","(221, 160)","(198, 149)",,,,,,,
"(197, 131)","(199, 154)","(216, 162)","(238, 160)","(237, 135)","(219, 125)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 155)","(221, 160)","(198, 149)",,,,,,,
"(197, 131)","(198, 153)","(216, 162)","(238, 160)","(236, 134)","(220, 126)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 155)","(221, 160)","(198, 149)",,,,,,,
"(197, 131)","(199, 154)","(216, 162)","(238, 160)","(236, 134)","(220, 126)",,,,,,,
"(198, 131)","(199, 154)","(213, 161)","(238, 158)","(236, 134)","(219, 126)",,,,,,,
"(198, 131)","(199, 154)","(214, 162)","(238, 157)","(236, 134)","(219, 126)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 156)","(214, 160)","(199, 152)",,,,,,,
"(198, 131)","(199, 154)","(214, 162)","(238, 157)","(234, 133)","(219, 125)",,,,,,,
"(199, 133)","(221, 128)","(235, 135)","(237, 156)","(214, 160)","(199, 152)",,,,,,,
"(199, 133)","(220, 128)","(235, 135)","(237, 156)","(214, 160)","(201, 153)",,,,,,,
