"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(338, 148)","(356, 158)","(354, 176)","(340, 183)","(321, 173)","(325, 159)"
"(336, 139)","(366, 153)","(365, 179)","(341, 193)","(309, 174)","(315, 154)"
"(451, 251)","(466, 245)","(483, 250)","(487, 270)","(465, 275)","(453, 269)"
"(449, 247)","(451, 271)","(464, 278)","(490, 272)","(486, 249)","(471, 242)"
"(338, 148)","(356, 159)","(356, 175)","(342, 182)","(322, 174)","(325, 159)"
"(339, 145)","(322, 157)","(318, 177)","(343, 185)","(361, 172)","(359, 157)"
"(451, 251)","(466, 245)","(483, 250)","(487, 270)","(467, 276)","(450, 265)"
"(449, 247)","(451, 271)","(464, 278)","(490, 272)","(486, 249)","(471, 242)"
"(338, 148)","(356, 159)","(357, 174)","(342, 182)","(322, 175)","(325, 159)"
"(338, 145)","(323, 155)","(318, 177)","(341, 186)","(361, 172)","(358, 156)"
"(451, 251)","(465, 245)","(487, 254)","(487, 270)","(467, 276)","(453, 269)"
"(449, 247)","(451, 271)","(464, 278)","(490, 272)","(486, 249)","(471, 242)"
