"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(71, 42)","(74, 68)","(90, 75)","(113, 68)","(109, 45)","(91, 37)"
"(94, 37)","(70, 44)","(71, 65)","(88, 75)","(113, 68)","(111, 47)"
"(70, 45)","(72, 67)","(88, 75)","(112, 70)","(110, 46)","(91, 37)"
"(74, 46)","(89, 41)","(104, 46)","(110, 65)","(84, 70)","(73, 63)"
"(70, 45)","(72, 67)","(88, 75)","(112, 70)","(108, 44)","(91, 37)"
"(70, 44)","(72, 67)","(88, 75)","(112, 70)","(109, 45)","(93, 37)"
"(70, 44)","(69, 63)","(82, 73)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(109, 51)","(108, 67)","(82, 69)","(72, 60)"
"(70, 44)","(69, 63)","(82, 73)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(85, 70)","(74, 63)"
"(70, 44)","(71, 66)","(90, 75)","(111, 70)","(109, 45)","(93, 37)"
"(70, 44)","(70, 64)","(83, 73)","(113, 69)","(107, 44)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(85, 70)","(74, 63)"
"(70, 44)","(71, 66)","(88, 75)","(111, 70)","(109, 45)","(93, 37)"
"(70, 44)","(72, 67)","(87, 75)","(111, 70)","(107, 44)","(93, 37)"
"(70, 45)","(71, 66)","(85, 74)","(113, 67)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(72, 61)"
"(70, 44)","(72, 67)","(87, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(104, 46)","(108, 67)","(82, 69)","(72, 60)"
"(71, 42)","(72, 67)","(86, 74)","(112, 70)","(107, 44)","(93, 37)"
"(73, 47)","(89, 41)","(109, 51)","(109, 67)","(82, 69)","(72, 60)"
"(70, 44)","(72, 67)","(85, 74)","(112, 70)","(108, 44)","(91, 37)"
"(70, 44)","(72, 67)","(85, 74)","(112, 70)","(108, 44)","(95, 38)"
"(70, 44)","(72, 67)","(85, 74)","(112, 70)","(108, 44)","(95, 38)"
"(71, 42)","(72, 67)","(90, 75)","(111, 70)","(109, 45)","(93, 37)"
"(71, 41)","(72, 67)","(90, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(92, 40)","(108, 49)","(109, 65)","(85, 70)","(73, 62)"
"(71, 41)","(72, 67)","(90, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(92, 40)","(107, 49)","(109, 65)","(85, 70)","(73, 62)"
"(70, 44)","(69, 64)","(82, 73)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(69, 64)","(90, 75)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(92, 40)","(104, 46)","(108, 67)","(84, 70)","(73, 61)"
"(70, 44)","(69, 64)","(83, 73)","(113, 67)","(112, 49)","(91, 37)"
"(70, 44)","(69, 64)","(82, 73)","(113, 67)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(104, 46)","(108, 67)","(84, 70)","(73, 61)"
"(70, 44)","(69, 63)","(90, 75)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(104, 46)","(108, 67)","(84, 70)","(73, 61)"
"(70, 43)","(72, 67)","(90, 75)","(112, 70)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(104, 46)","(108, 67)","(84, 70)","(73, 62)"
"(70, 43)","(72, 67)","(90, 75)","(112, 70)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(104, 46)","(108, 67)","(84, 70)","(73, 62)"
"(70, 43)","(72, 67)","(90, 75)","(112, 70)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(105, 47)","(108, 67)","(84, 70)","(72, 60)"
"(70, 44)","(74, 68)","(88, 75)","(110, 72)","(109, 45)","(93, 37)"
"(70, 44)","(72, 67)","(88, 75)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(72, 67)","(88, 75)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(72, 67)","(88, 75)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(69, 63)","(81, 72)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(69, 63)","(81, 72)","(113, 68)","(109, 45)","(93, 37)"
"(71, 42)","(72, 67)","(87, 75)","(112, 70)","(109, 45)","(93, 37)"
"(70, 45)","(69, 64)","(81, 72)","(112, 70)","(109, 45)","(93, 37)"
"(71, 41)","(73, 67)","(87, 75)","(112, 70)","(109, 45)","(93, 37)"
"(73, 47)","(89, 41)","(105, 47)","(108, 67)","(84, 70)","(73, 62)"
"(70, 44)","(69, 64)","(81, 72)","(112, 70)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(72, 61)"
"(70, 44)","(72, 67)","(88, 75)","(112, 68)","(109, 45)","(93, 37)"
"(70, 44)","(72, 67)","(88, 75)","(111, 70)","(109, 45)","(93, 37)"
"(92, 40)","(109, 51)","(109, 65)","(90, 72)","(73, 62)","(72, 49)"
"(70, 44)","(72, 67)","(90, 75)","(112, 70)","(109, 45)","(94, 37)"
"(73, 47)","(94, 41)","(109, 51)","(109, 65)","(85, 70)","(73, 62)"
"(70, 44)","(72, 67)","(90, 75)","(112, 70)","(109, 45)","(94, 37)"
"(70, 44)","(71, 66)","(87, 75)","(112, 70)","(109, 45)","(94, 38)"
"(71, 43)","(72, 67)","(88, 75)","(112, 70)","(110, 45)","(93, 37)"
"(71, 43)","(72, 67)","(88, 75)","(112, 70)","(110, 46)","(93, 37)"
"(70, 44)","(72, 67)","(88, 75)","(112, 70)","(110, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(85, 70)","(73, 62)"
"(72, 42)","(71, 66)","(86, 74)","(110, 71)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(72, 42)","(71, 66)","(86, 74)","(112, 68)","(110, 45)","(93, 37)"
"(73, 47)","(92, 40)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(72, 67)","(86, 74)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(85, 70)","(73, 62)"
"(70, 44)","(72, 67)","(90, 75)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(97, 42)","(108, 49)","(109, 65)","(85, 70)","(73, 62)"
"(70, 44)","(70, 65)","(81, 72)","(113, 68)","(109, 45)","(93, 37)"
"(70, 44)","(69, 63)","(83, 73)","(113, 68)","(109, 45)","(93, 37)"
"(74, 46)","(89, 41)","(109, 51)","(109, 65)","(83, 69)","(72, 60)"
"(70, 44)","(69, 63)","(94, 74)","(113, 68)","(109, 45)","(94, 37)"
"(70, 44)","(69, 63)","(83, 73)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(72, 67)","(88, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(73, 67)","(88, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(72, 67)","(88, 75)","(111, 70)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(72, 67)","(86, 74)","(113, 68)","(109, 45)","(93, 37)"
"(73, 47)","(94, 41)","(108, 49)","(109, 65)","(87, 71)","(73, 62)"
"(70, 44)","(72, 67)","(86, 74)","(113, 68)","(109, 45)","(93, 37)"
"(71, 42)","(72, 67)","(90, 75)","(111, 69)","(109, 45)","(94, 38)"
"(71, 41)","(72, 67)","(90, 75)","(111, 69)","(109, 45)","(94, 38)"
