"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(53, 26)","(52, 48)","(68, 57)","(93, 53)","(92, 28)","(76, 20)"
"(53, 26)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(53, 26)","(52, 48)","(68, 57)","(93, 53)","(92, 28)","(76, 20)"
"(52, 28)","(55, 50)","(68, 57)","(93, 53)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
"(52, 27)","(55, 50)","(68, 57)","(94, 51)","(92, 28)","(76, 20)"
