"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(26, 28)","(50, 24)","(62, 33)","(61, 49)","(43, 54)","(25, 43)",2025:01:23_22:40,2025:01:23_22:45,255s,1.0,0.0,0.0,0.0
"(26, 28)","(45, 22)","(62, 33)","(61, 49)","(43, 54)","(26, 44)",,,,,,,
"(23, 26)","(25, 49)","(39, 56)","(65, 52)","(62, 27)","(46, 19)",,,,,,,
"(45, 22)","(62, 33)","(62, 47)","(43, 54)","(26, 44)","(25, 31)",,,,,,,
"(26, 29)","(43, 22)","(62, 33)","(61, 49)","(35, 51)","(25, 42)",,,,,,,
"(26, 29)","(50, 24)","(62, 33)","(61, 49)","(35, 51)","(25, 42)",,,,,,,
"(25, 22)","(25, 49)","(38, 56)","(64, 52)","(63, 28)","(45, 19)",,,,,,,
"(26, 29)","(45, 22)","(62, 33)","(62, 48)","(43, 54)","(25, 42)",,,,,,,
"(23, 26)","(22, 44)","(33, 54)","(64, 54)","(61, 27)","(45, 19)",,,,,,,
"(26, 29)","(48, 23)","(61, 31)","(62, 48)","(35, 51)","(25, 42)",,,,,,,
"(23, 26)","(25, 49)","(38, 56)","(64, 54)","(61, 27)","(46, 19)",,,,,,,
"(26, 29)","(47, 23)","(61, 32)","(62, 47)","(38, 52)","(26, 44)",,,,,,,
"(23, 26)","(25, 49)","(40, 57)","(66, 51)","(61, 27)","(46, 20)",,,,,,,
"(26, 29)","(47, 23)","(61, 32)","(62, 47)","(38, 52)","(26, 44)",,,,,,,
"(23, 26)","(25, 49)","(39, 56)","(66, 51)","(58, 25)","(43, 19)",,,,,,,
"(26, 29)","(48, 23)","(61, 32)","(62, 47)","(37, 52)","(25, 42)",,,,,,,
"(25, 22)","(25, 49)","(38, 56)","(63, 53)","(64, 29)","(46, 19)",,,,,,,
"(23, 26)","(25, 49)","(40, 57)","(64, 52)","(62, 27)","(46, 19)",,,,,,,
"(26, 29)","(41, 23)","(57, 28)","(61, 49)","(43, 54)","(25, 42)",,,,,,,
"(24, 24)","(25, 49)","(41, 57)","(64, 52)","(62, 27)","(46, 19)",,,,,,,
"(23, 26)","(23, 46)","(43, 57)","(65, 51)","(63, 28)","(46, 19)",,,,,,,
"(23, 26)","(25, 49)","(40, 57)","(66, 50)","(62, 27)","(46, 19)",,,,,,,
"(23, 26)","(25, 49)","(40, 57)","(66, 50)","(62, 27)","(47, 20)",,,,,,,
"(26, 29)","(45, 22)","(62, 33)","(61, 49)","(37, 52)","(25, 42)",,,,,,,
"(26, 29)","(45, 22)","(61, 31)","(61, 49)","(37, 52)","(25, 42)",,,,,,,
"(26, 29)","(45, 22)","(61, 31)","(61, 49)","(37, 52)","(25, 42)",,,,,,,
"(24, 24)","(27, 50)","(39, 56)","(64, 52)","(63, 28)","(44, 19)",,,,,,,
"(23, 26)","(25, 49)","(40, 57)","(64, 52)","(63, 28)","(46, 19)",,,,,,,
"(26, 29)","(45, 22)","(62, 34)","(61, 49)","(43, 54)","(26, 43)",,,,,,,
"(24, 23)","(27, 50)","(43, 57)","(63, 53)","(63, 28)","(47, 19)",,,,,,,
"(26, 29)","(42, 23)","(59, 29)","(61, 49)","(37, 52)","(25, 43)",,,,,,,
"(25, 22)","(25, 49)","(43, 57)","(64, 54)","(64, 29)","(48, 20)",,,,,,,
"(26, 29)","(45, 22)","(62, 33)","(61, 49)","(37, 52)","(25, 43)",,,,,,,
"(24, 23)","(25, 49)","(43, 57)","(64, 52)","(60, 26)","(44, 19)",,,,,,,
"(25, 31)","(47, 23)","(61, 32)","(62, 47)","(37, 52)","(26, 44)",,,,,,,
"(25, 22)","(25, 49)","(38, 56)","(65, 53)","(62, 27)","(46, 19)",,,,,,,
"(25, 22)","(25, 49)","(39, 56)","(65, 53)","(62, 27)","(46, 19)",,,,,,,
"(25, 21)","(25, 49)","(39, 56)","(65, 53)","(61, 26)","(46, 19)",,,,,,,
"(26, 29)","(45, 22)","(62, 34)","(61, 49)","(43, 54)","(25, 43)",,,,,,,
"(26, 28)","(41, 23)","(57, 28)","(61, 49)","(37, 52)","(25, 43)",,,,,,,
"(24, 24)","(25, 49)","(39, 56)","(64, 52)","(63, 28)","(46, 19)",,,,,,,
"(26, 29)","(45, 22)","(61, 31)","(62, 47)","(37, 52)","(25, 43)",,,,,,,
"(24, 24)","(25, 49)","(39, 56)","(64, 52)","(63, 28)","(46, 19)",,,,,,,
"(26, 29)","(45, 22)","(61, 32)","(62, 47)","(37, 52)","(25, 43)",,,,,,,
"(25, 22)","(25, 49)","(39, 56)","(63, 54)","(63, 28)","(47, 20)",,,,,,,
"(26, 29)","(42, 23)","(62, 33)","(61, 49)","(37, 52)","(25, 43)",,,,,,,
"(27, 28)","(45, 22)","(58, 29)","(61, 49)","(37, 52)","(26, 43)",,,,,,,
"(25, 22)","(25, 49)","(40, 57)","(65, 50)","(61, 27)","(46, 19)",,,,,,,
"(27, 28)","(46, 22)","(62, 33)","(62, 47)","(43, 54)","(26, 43)",,,,,,,
"(25, 22)","(24, 48)","(41, 57)","(65, 51)","(62, 27)","(46, 19)",,,,,,,
"(25, 31)","(45, 22)","(61, 31)","(62, 47)","(37, 52)","(26, 44)",,,,,,,
"(25, 22)","(26, 49)","(41, 57)","(65, 52)","(62, 27)","(46, 19)",,,,,,,
"(24, 23)","(25, 49)","(41, 57)","(65, 52)","(64, 29)","(46, 19)",,,,,,,
"(27, 29)","(45, 22)","(58, 28)","(62, 47)","(47, 53)","(26, 44)",,,,,,,
"(24, 23)","(25, 49)","(43, 57)","(65, 52)","(62, 27)","(46, 19)",,,,,,,
"(26, 29)","(45, 22)","(58, 28)","(61, 49)","(37, 52)","(26, 44)",,,,,,,
"(26, 29)","(48, 23)","(61, 32)","(62, 47)","(38, 52)","(26, 44)",,,,,,,
"(26, 29)","(46, 22)","(61, 31)","(62, 47)","(38, 52)","(26, 44)",,,,,,,
"(25, 31)","(45, 22)","(61, 31)","(62, 47)","(40, 53)","(26, 44)",,,,,,,
