"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(179, 125)","(200, 119)","(214, 128)","(215, 143)","(191, 148)","(178, 139)",2025:01:23_22:03,2025:01:23_22:04,37s,1.0,0.0,0.0,0.0
"(177, 121)","(179, 145)","(193, 153)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(65, 24)","(82, 30)","(85, 43)","(68, 56)","(50, 48)","(53, 34)",,,,,,,
"(69, 19)","(49, 32)","(46, 46)","(64, 59)","(88, 47)","(87, 31)",,,,,,,
"(66, 13)","(94, 28)","(93, 52)","(67, 67)","(39, 54)","(42, 30)",,,,,,,
"(179, 125)","(200, 119)","(214, 128)","(215, 143)","(191, 148)","(178, 139)",,,,,,,
"(177, 121)","(179, 145)","(193, 153)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(65, 24)","(84, 33)","(84, 47)","(70, 56)","(50, 48)","(51, 37)",,,,,,,
"(66, 13)","(94, 28)","(94, 51)","(68, 67)","(39, 54)","(42, 30)",,,,,,,
"(178, 126)","(200, 119)","(214, 128)","(215, 143)","(191, 148)","(178, 139)",,,,,,,
"(176, 122)","(177, 144)","(191, 152)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(198, 71)","(209, 82)","(207, 95)","(182, 107)","(169, 94)","(180, 74)",,,,,,,
"(66, 23)","(84, 33)","(83, 47)","(69, 56)","(50, 48)","(56, 30)",,,,,,,
"(66, 19)","(51, 30)","(45, 49)","(70, 60)","(88, 48)","(83, 27)",,,,,,,
"(66, 13)","(94, 29)","(94, 51)","(67, 67)","(39, 54)","(42, 29)",,,,,,,
"(179, 125)","(200, 119)","(214, 128)","(215, 143)","(191, 148)","(178, 139)",,,,,,,
"(177, 121)","(177, 144)","(191, 152)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(198, 71)","(209, 82)","(207, 94)","(182, 107)","(169, 94)","(179, 75)",,,,,,,
"(66, 13)","(92, 26)","(94, 51)","(68, 67)","(39, 55)","(42, 29)",,,,,,,
"(178, 126)","(200, 119)","(213, 127)","(215, 143)","(193, 149)","(178, 139)",,,,,,,
"(177, 121)","(179, 145)","(194, 153)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(199, 71)","(209, 82)","(205, 97)","(180, 106)","(169, 94)","(181, 74)",,,,,,,
"(200, 68)","(176, 73)","(164, 92)","(181, 110)","(203, 105)","(213, 82)",,,,,,,
"(66, 23)","(84, 36)","(83, 49)","(69, 56)","(49, 47)","(53, 34)",,,,,,,
"(65, 20)","(50, 31)","(46, 51)","(70, 60)","(88, 49)","(82, 26)",,,,,,,
"(66, 13)","(94, 30)","(94, 51)","(68, 67)","(39, 55)","(42, 29)",,,,,,,
"(178, 126)","(200, 119)","(213, 127)","(215, 143)","(193, 149)","(178, 139)",,,,,,,
"(177, 121)","(179, 145)","(194, 153)","(217, 148)","(215, 123)","(199, 115)",,,,,,,
"(199, 71)","(209, 82)","(205, 97)","(180, 106)","(169, 94)","(181, 74)",,,,,,,
