"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(29, 30)","(31, 55)","(44, 62)","(70, 56)","(67, 33)","(51, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(29, 30)","(30, 55)","(44, 62)","(69, 58)","(67, 33)","(52, 25)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"
"(31, 34)","(49, 28)","(63, 34)","(67, 53)","(51, 59)","(30, 49)"

Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
2025:01:23_17:35,2025:01:23_17:35,3s,30,0,0,0
