(x1,y1)	(x2,y2)	(x3,y3)	(x4,y4)	(x5,y5)	(x6,y6)	Start Time	Stop Time	Duration	FPS(Frame Per Second)	Red Warning	Orange Warning	Wind Warning
(34, 27)	(35, 52)	(49, 59)	(74, 55)	(72, 30)	(57, 23)
(34, 27)	(35, 52)	(49, 59)	(74, 55)	(72, 30)	(57, 23)
(33, 29)	(35, 52)	(49, 59)	(75, 54)	(72, 30)	(53, 22)
(33, 29)	(35, 52)	(49, 59)	(75, 54)	(72, 30)	(53, 22)
(56, 22)	(33, 29)	(32, 48)	(49, 59)	(75, 53)	(74, 32)
(33, 29)	(35, 52)	(48, 59)	(74, 55)	(70, 29)	(53, 22)
(56, 22)	(33, 29)	(33, 50)	(49, 59)	(75, 53)	(74, 32)
