"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(86, 16)","(62, 24)","(61, 42)","(78, 53)","(104, 47)","(103, 26)",,,,,,,
"(86, 16)","(62, 24)","(61, 42)","(78, 53)","(104, 47)","(103, 26)",,,,,,,
"(86, 16)","(62, 24)","(61, 42)","(78, 53)","(104, 47)","(103, 26)",,,,,,,
"(86, 16)","(62, 24)","(61, 42)","(78, 53)","(104, 47)","(103, 26)",,,,,,,
"(86, 16)","(62, 24)","(61, 42)","(78, 53)","(104, 47)","(103, 26)",,,,,,,
"(65, 26)","(87, 20)","(100, 28)","(101, 44)","(79, 50)","(64, 40)",,,,,,,
"(63, 22)","(64, 46)","(78, 53)","(103, 49)","(101, 24)","(86, 16)",,,,,,,
"(65, 26)","(87, 20)","(100, 28)","(101, 44)","(79, 50)","(64, 40)",,,,,,,
"(63, 22)","(64, 46)","(78, 53)","(103, 49)","(101, 24)","(86, 16)",,,,,,,
"(65, 26)","(87, 20)","(100, 28)","(101, 44)","(79, 50)","(64, 40)",,,,,,,
"(63, 22)","(64, 46)","(78, 53)","(103, 49)","(101, 24)","(86, 16)",,,,,,,
"(65, 26)","(87, 20)","(100, 28)","(101, 44)","(79, 50)","(64, 40)",,,,,,,
"(63, 22)","(64, 46)","(78, 53)","(103, 49)","(101, 24)","(86, 16)",,,,,,,
"(65, 26)","(87, 20)","(100, 28)","(101, 44)","(79, 50)","(64, 40)",,,,,,,
"(63, 22)","(64, 46)","(78, 53)","(103, 49)","(101, 24)","(86, 16)",,,,,,,
,,,,,,2025:01:23_17:37,2025:01:23_17:37,2s,30.0,0.0,0.0,0.0
