"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(185, 137)","(208, 132)","(220, 139)","(221, 155)","(197, 160)","(184, 151)",2025:01:23_21:37,2025:01:23_21:38,21s,1.0,0.0,0.0,0.0
"(183, 133)","(184, 157)","(199, 165)","(223, 159)","(221, 135)","(205, 127)",,,,,,,
"(184, 139)","(206, 131)","(220, 139)","(221, 155)","(197, 160)","(185, 152)",,,,,,,
"(183, 133)","(184, 157)","(197, 164)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(184, 139)","(206, 131)","(220, 139)","(221, 155)","(197, 160)","(185, 152)",,,,,,,
"(183, 133)","(184, 157)","(197, 164)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(185, 137)","(208, 132)","(220, 139)","(221, 155)","(199, 161)","(184, 151)",,,,,,,
"(183, 133)","(183, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(185, 137)","(201, 131)","(216, 136)","(221, 155)","(199, 161)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(185, 137)","(201, 131)","(216, 136)","(221, 155)","(197, 160)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(207, 81)","(180, 88)","(171, 105)","(180, 119)","(211, 115)","(219, 94)",,,,,,,
"(185, 137)","(208, 132)","(220, 139)","(221, 155)","(199, 161)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(185, 137)","(208, 132)","(220, 139)","(221, 155)","(199, 161)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(183, 133)","(184, 157)","(202, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(183, 133)","(184, 157)","(202, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(185, 137)","(201, 131)","(216, 136)","(220, 157)","(205, 161)","(184, 151)",,,,,,,
"(205, 127)","(185, 131)","(182, 155)","(199, 165)","(224, 158)","(223, 137)",,,,,,,
"(183, 133)","(184, 157)","(202, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(186, 136)","(205, 131)","(219, 138)","(220, 157)","(200, 161)","(188, 155)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(220, 135)","(205, 127)",,,,,,,
"(185, 137)","(205, 131)","(220, 139)","(221, 155)","(197, 160)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(220, 135)","(205, 127)",,,,,,,
"(185, 137)","(205, 131)","(220, 139)","(221, 155)","(196, 160)","(184, 150)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(220, 135)","(205, 127)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(225, 158)","(221, 135)","(202, 127)",,,,,,,
"(185, 137)","(201, 131)","(217, 137)","(220, 157)","(196, 160)","(184, 151)",,,,,,,
"(183, 133)","(184, 157)","(199, 165)","(223, 160)","(221, 135)","(205, 127)",,,,,,,
