"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(42, 14)","(44, 37)","(60, 45)","(84, 38)","(80, 15)","(66, 8)"
,,,,,
"(82, 15)","(65, 7)","(44, 12)","(41, 34)","(57, 44)","(81, 41)"
"(82, 15)","(65, 7)","(44, 12)","(41, 33)","(57, 44)","(81, 41)"
"(82, 15)","(65, 7)","(44, 12)","(41, 33)","(57, 44)","(81, 41)"
"(82, 15)","(65, 7)","(46, 11)","(41, 33)","(57, 44)","(81, 41)"
"(82, 15)","(65, 7)","(46, 11)","(41, 33)","(57, 44)","(81, 41)"
"(82, 15)","(65, 7)","(46, 11)","(41, 33)","(57, 44)","(81, 41)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(65, 7)","(42, 14)","(41, 33)","(57, 44)","(84, 38)","(83, 17)"
"(42, 14)","(44, 37)","(57, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(44, 37)","(57, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(44, 37)","(57, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(44, 37)","(57, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(47, 39)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(47, 39)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(41, 33)","(66, 44)","(84, 38)","(82, 16)","(65, 7)"
"(42, 14)","(44, 37)","(57, 44)","(83, 40)","(82, 16)","(65, 7)"
"(42, 14)","(44, 37)","(57, 44)","(83, 40)","(82, 16)","(65, 7)"
"(43, 12)","(44, 37)","(60, 45)","(83, 40)","(82, 16)","(62, 7)"
"(43, 12)","(44, 37)","(60, 45)","(83, 40)","(82, 16)","(62, 7)"
"(43, 12)","(44, 37)","(60, 45)","(83, 40)","(82, 16)","(62, 7)"
