"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
,,,,,
"(63, 22)","(41, 27)","(40, 50)","(56, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(41, 27)","(40, 50)","(56, 59)","(82, 53)","(81, 32)"
"(63, 22)","(41, 27)","(40, 50)","(56, 59)","(82, 53)","(81, 32)"
"(63, 22)","(41, 27)","(40, 50)","(56, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
"(63, 22)","(40, 29)","(39, 48)","(55, 59)","(82, 53)","(81, 32)"
