"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(184, 132)","(205, 126)","(220, 136)","(220, 150)","(198, 156)","(183, 146)",2025:01:23_22:07,2025:01:23_22:07,32s,1.0,0.0,0.0,0.0
"(181, 129)","(183, 152)","(197, 159)","(222, 155)","(219, 130)","(204, 122)",,,,,,,
"(203, 78)","(215, 91)","(204, 110)","(187, 114)","(174, 101)","(183, 83)",,,,,,,
"(71, 30)","(89, 41)","(89, 54)","(75, 63)","(54, 54)","(59, 39)",,,,,,,
"(71, 26)","(54, 38)","(51, 58)","(75, 67)","(92, 57)","(91, 37)",,,,,,,
"(69, 21)","(99, 37)","(98, 60)","(73, 74)","(44, 62)","(48, 35)",,,,,,,
"(183, 133)","(205, 126)","(220, 136)","(220, 150)","(198, 156)","(183, 146)",,,,,,,
"(181, 129)","(184, 152)","(197, 159)","(222, 155)","(219, 130)","(202, 122)",,,,,,,
"(203, 78)","(215, 91)","(207, 108)","(187, 114)","(174, 101)","(183, 83)",,,,,,,
"(182, 79)","(168, 100)","(185, 117)","(213, 117)","(216, 86)","(205, 75)",,,,,,,
"(71, 30)","(89, 41)","(88, 55)","(75, 63)","(55, 54)","(59, 39)",,,,,,,
"(183, 133)","(205, 126)","(220, 136)","(220, 150)","(198, 156)","(184, 148)",,,,,,,
"(181, 129)","(183, 152)","(196, 159)","(222, 155)","(220, 130)","(205, 123)",,,,,,,
"(203, 78)","(215, 91)","(207, 108)","(187, 114)","(174, 99)","(183, 83)",,,,,,,
"(205, 75)","(182, 79)","(168, 99)","(186, 117)","(208, 112)","(218, 89)",,,,,,,
"(71, 30)","(89, 41)","(89, 54)","(75, 63)","(55, 55)","(59, 39)",,,,,,,
"(72, 26)","(53, 41)","(51, 58)","(76, 67)","(93, 50)","(91, 37)",,,,,,,
"(183, 133)","(205, 126)","(219, 135)","(220, 150)","(198, 156)","(183, 146)",,,,,,,
"(181, 129)","(183, 152)","(196, 159)","(222, 155)","(220, 130)","(205, 123)",,,,,,,
"(203, 78)","(215, 91)","(207, 108)","(187, 114)","(174, 99)","(185, 81)",,,,,,,
"(71, 30)","(89, 40)","(89, 54)","(74, 63)","(54, 54)","(59, 39)",,,,,,,
"(73, 26)","(55, 38)","(50, 57)","(76, 67)","(93, 50)","(91, 37)",,,,,,,
"(181, 129)","(183, 152)","(196, 159)","(222, 155)","(220, 130)","(201, 122)",,,,,,,
"(204, 78)","(214, 89)","(212, 102)","(186, 114)","(174, 99)","(184, 82)",,,,,,,
"(72, 30)","(89, 40)","(88, 56)","(74, 63)","(55, 55)","(60, 36)",,,,,,,
"(73, 26)","(54, 39)","(51, 57)","(75, 67)","(93, 51)","(92, 38)",,,,,,,
"(71, 20)","(99, 35)","(98, 60)","(73, 74)","(45, 62)","(49, 34)",,,,,,,
"(181, 129)","(183, 152)","(196, 159)","(222, 155)","(220, 130)","(204, 122)",,,,,,,
"(204, 78)","(215, 91)","(212, 102)","(186, 114)","(174, 99)","(184, 82)",,,,,,,
"(72, 30)","(89, 39)","(89, 55)","(74, 63)","(55, 54)","(60, 38)",,,,,,,
"(70, 27)","(54, 39)","(51, 57)","(75, 67)","(92, 57)","(92, 38)",,,,,,,
"(71, 20)","(99, 35)","(99, 58)","(73, 74)","(44, 61)","(49, 34)",,,,,,,
"(181, 129)","(183, 152)","(196, 159)","(222, 155)","(220, 130)","(202, 122)",,,,,,,
"(205, 79)","(214, 89)","(211, 103)","(186, 114)","(174, 101)","(181, 85)",,,,,,,
"(72, 30)","(89, 40)","(89, 55)","(74, 63)","(55, 54)","(58, 41)",,,,,,,
"(70, 27)","(55, 38)","(51, 57)","(75, 67)","(92, 57)","(92, 38)",,,,,,,
"(69, 21)","(99, 36)","(97, 61)","(73, 74)","(44, 61)","(49, 34)",,,,,,,
"(183, 133)","(205, 126)","(220, 136)","(220, 150)","(198, 156)","(183, 146)",,,,,,,
"(181, 129)","(184, 152)","(196, 159)","(222, 155)","(220, 130)","(205, 123)",,,,,,,
"(203, 78)","(214, 89)","(207, 108)","(187, 114)","(174, 101)","(183, 83)",,,,,,,
"(74, 29)","(88, 37)","(89, 54)","(72, 63)","(54, 53)","(59, 39)",,,,,,,
"(72, 26)","(55, 37)","(51, 58)","(76, 67)","(92, 57)","(91, 36)",,,,,,,
"(70, 20)","(99, 37)","(99, 58)","(73, 74)","(44, 62)","(47, 37)",,,,,,,
"(183, 133)","(205, 126)","(220, 136)","(220, 150)","(198, 156)","(184, 148)",,,,,,,
"(181, 129)","(184, 152)","(197, 159)","(222, 155)","(220, 130)","(205, 123)",,,,,,,
"(205, 79)","(214, 89)","(211, 103)","(186, 114)","(174, 101)","(187, 81)",,,,,,,
"(208, 77)","(180, 81)","(170, 101)","(185, 117)","(210, 110)","(218, 88)",,,,,,,
