"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(165, 124)","(187, 117)","(202, 127)","(202, 141)","(180, 147)","(165, 137)",2025:01:23_22:09,2025:01:23_22:09,27s,1.0,0.0,0.0,0.0
"(164, 119)","(166, 143)","(179, 150)","(204, 146)","(202, 121)","(186, 113)",,,,,,,
"(187, 66)","(164, 69)","(153, 93)","(168, 108)","(191, 102)","(200, 81)",,,,,,,
"(54, 21)","(71, 30)","(70, 46)","(57, 54)","(37, 46)","(40, 32)",,,,,,,
"(54, 17)","(36, 30)","(33, 48)","(58, 58)","(75, 46)","(74, 29)",,,,,,,
"(54, 11)","(81, 26)","(80, 51)","(56, 65)","(26, 53)","(31, 25)",,,,,,,
"(165, 124)","(187, 117)","(202, 127)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(165, 143)","(178, 150)","(204, 146)","(202, 121)","(186, 113)",,,,,,,
"(53, 21)","(71, 31)","(71, 45)","(57, 54)","(37, 46)","(39, 33)",,,,,,,
"(53, 17)","(35, 31)","(33, 48)","(58, 57)","(74, 48)","(72, 26)",,,,,,,
"(53, 11)","(81, 27)","(80, 51)","(55, 65)","(26, 52)","(30, 26)",,,,,,,
"(165, 124)","(187, 117)","(202, 127)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(165, 143)","(179, 150)","(204, 146)","(202, 121)","(186, 113)",,,,,,,
"(54, 21)","(71, 31)","(72, 45)","(57, 54)","(37, 46)","(41, 30)",,,,,,,
"(54, 17)","(36, 30)","(32, 47)","(59, 57)","(75, 41)","(73, 27)",,,,,,,
"(52, 11)","(81, 27)","(80, 51)","(57, 64)","(26, 52)","(30, 26)",,,,,,,
"(53, 8)","(25, 25)","(23, 54)","(57, 68)","(84, 54)","(84, 24)",,,,,,,
"(165, 124)","(187, 117)","(201, 126)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(185, 69)","(196, 80)","(194, 93)","(169, 105)","(156, 92)","(165, 74)",,,,,,,
"(56, 17)","(34, 33)","(33, 48)","(47, 57)","(75, 46)","(74, 28)",,,,,,,
"(53, 11)","(77, 22)","(80, 51)","(55, 65)","(26, 53)","(30, 26)",,,,,,,
"(165, 124)","(187, 117)","(201, 126)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(166, 143)","(179, 150)","(204, 146)","(202, 121)","(187, 114)",,,,,,,
"(57, 17)","(34, 34)","(33, 48)","(49, 57)","(75, 45)","(74, 28)",,,,,,,
"(53, 11)","(78, 23)","(80, 51)","(55, 65)","(26, 53)","(28, 23)",,,,,,,
"(166, 123)","(187, 117)","(201, 126)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(165, 143)","(179, 150)","(204, 146)","(202, 121)","(187, 114)",,,,,,,
"(190, 68)","(163, 70)","(151, 89)","(167, 108)","(192, 101)","(200, 79)",,,,,,,
"(54, 20)","(71, 33)","(70, 46)","(57, 54)","(36, 44)","(40, 30)",,,,,,,
"(53, 11)","(81, 27)","(80, 51)","(55, 65)","(26, 53)","(29, 27)",,,,,,,
"(166, 123)","(187, 117)","(201, 126)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(163, 141)","(179, 150)","(204, 146)","(202, 121)","(187, 114)",,,,,,,
"(53, 11)","(81, 27)","(80, 51)","(55, 65)","(26, 53)","(29, 26)",,,,,,,
"(165, 124)","(187, 117)","(202, 127)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(163, 120)","(166, 143)","(179, 150)","(204, 146)","(202, 121)","(186, 113)",,,,,,,
"(186, 69)","(196, 80)","(193, 94)","(167, 104)","(156, 92)","(167, 72)",,,,,,,
"(186, 66)","(163, 70)","(152, 88)","(168, 108)","(190, 103)","(200, 79)",,,,,,,
"(54, 17)","(36, 30)","(33, 49)","(57, 58)","(74, 48)","(71, 26)",,,,,,,
"(51, 11)","(81, 26)","(81, 49)","(53, 66)","(26, 51)","(30, 26)",,,,,,,
"(165, 124)","(187, 117)","(202, 127)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
"(164, 119)","(166, 143)","(179, 150)","(204, 146)","(202, 121)","(186, 113)",,,,,,,
"(186, 69)","(196, 80)","(193, 94)","(167, 104)","(156, 92)","(167, 72)",,,,,,,
"(186, 66)","(163, 70)","(152, 88)","(168, 108)","(190, 103)","(200, 79)",,,,,,,
"(54, 17)","(36, 29)","(33, 49)","(57, 58)","(74, 48)","(71, 26)",,,,,,,
"(52, 11)","(81, 26)","(81, 49)","(54, 65)","(26, 51)","(29, 27)",,,,,,,
"(165, 124)","(187, 117)","(201, 126)","(202, 141)","(180, 147)","(165, 137)",,,,,,,
