(x1,y1)	(x2,y2)	(x3,y3)	(x4,y4)	(x5,y5)	(x6,y6)	Start Time	Stop Time	Duration	FPS(Frame Per Second)	Red Warning	Orange Warning	Wind Warning
(54, 24)	(56, 47)	(69, 54)	(96, 49)	(94, 26)	(74, 17)
(54, 24)	(56, 47)	(69, 54)	(96, 49)	(94, 26)	(78, 18)
(54, 24)	(56, 47)	(70, 54)	(95, 50)	(94, 26)	(78, 18)
(54, 24)	(56, 47)	(70, 54)	(95, 50)	(94, 26)	(78, 18)
(54, 24)	(56, 47)	(70, 54)	(95, 50)	(94, 26)	(78, 18)
(54, 24)	(56, 47)	(70, 54)	(95, 50)	(94, 26)	(79, 18)
(78, 17)	(54, 24)	(54, 45)	(70, 54)	(96, 48)	(95, 27)
(54, 24)	(56, 47)	(69, 54)	(96, 48)	(94, 26)	(74, 17)
(54, 24)	(56, 47)	(69, 54)	(96, 48)	(94, 26)	(74, 17)
(54, 24)	(56, 47)	(70, 54)	(95, 50)	(92, 24)	(77, 17)
(55, 22)	(56, 47)	(70, 54)	(96, 49)	(93, 25)	(76, 17)
(54, 24)	(56, 47)	(72, 55)	(96, 49)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(72, 55)	(96, 49)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(75, 55)	(96, 49)	(94, 26)	(78, 17)
(54, 24)	(53, 43)	(76, 55)	(96, 48)	(94, 26)	(78, 18)
(78, 17)	(54, 24)	(54, 45)	(70, 54)	(96, 48)	(95, 27)
(78, 17)	(54, 24)	(54, 45)	(70, 54)	(96, 48)	(95, 27)
(78, 17)	(54, 24)	(54, 45)	(70, 54)	(96, 48)	(95, 27)
(55, 22)	(56, 47)	(70, 54)	(95, 50)	(94, 26)	(77, 17)
(78, 17)	(54, 24)	(54, 45)	(70, 54)	(96, 48)	(95, 27)
(55, 22)	(56, 47)	(70, 54)	(96, 49)	(94, 26)	(77, 17)
(55, 23)	(56, 47)	(70, 54)	(96, 49)	(94, 25)	(78, 18)
(94, 25)	(78, 17)	(58, 21)	(53, 43)	(69, 54)	(94, 51)
(54, 24)	(56, 47)	(72, 55)	(96, 48)	(94, 25)	(78, 18)
(54, 25)	(56, 47)	(72, 55)	(95, 50)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(69, 54)	(95, 50)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(69, 54)	(95, 50)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(72, 55)	(95, 50)	(94, 26)	(78, 18)
(55, 22)	(56, 47)	(72, 55)	(95, 50)	(94, 26)	(79, 18)
						2025:01:23_16:51	2025:01:23_16:51	32s	1	0	0	0
