"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(182, 133)","(197, 128)","(212, 133)","(216, 154)","(196, 158)","(184, 152)",2025:01:23_22:13,2025:01:23_22:13,10s,1.0,0.0,0.0,0.0
"(179, 130)","(180, 154)","(193, 161)","(220, 155)","(218, 132)","(201, 124)",,,,,,,
"(181, 134)","(197, 128)","(217, 138)","(216, 154)","(191, 156)","(180, 148)",,,,,,,
"(179, 130)","(177, 150)","(198, 162)","(221, 154)","(215, 131)","(201, 124)",,,,,,,
"(181, 134)","(197, 128)","(217, 138)","(216, 154)","(191, 156)","(180, 148)",,,,,,,
"(179, 130)","(177, 150)","(198, 162)","(221, 154)","(217, 132)","(201, 124)",,,,,,,
"(181, 134)","(197, 128)","(217, 138)","(216, 154)","(191, 156)","(180, 148)",,,,,,,
"(179, 130)","(177, 150)","(191, 160)","(221, 153)","(215, 131)","(201, 124)",,,,,,,
"(179, 130)","(180, 154)","(198, 162)","(221, 153)","(217, 132)","(201, 124)",,,,,,,
