"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(24, 22)","(25, 47)","(39, 54)","(64, 52)","(63, 26)","(48, 18)",2025:01:23_22:32,2025:01:23_22:33,26s,1.0,0.0,0.0,0.0
"(23, 28)","(46, 20)","(61, 30)","(62, 45)","(37, 50)","(26, 42)",,,,,,,
"(24, 23)","(25, 47)","(43, 55)","(66, 49)","(63, 26)","(48, 18)",,,,,,,
"(25, 20)","(25, 47)","(43, 55)","(65, 51)","(63, 26)","(45, 17)",,,,,,,
"(26, 27)","(47, 21)","(61, 29)","(62, 45)","(38, 50)","(25, 41)",,,,,,,
"(25, 19)","(25, 47)","(39, 54)","(65, 50)","(62, 25)","(46, 17)",,,,,,,
"(26, 27)","(45, 20)","(61, 29)","(62, 45)","(40, 51)","(26, 42)",,,,,,,
"(26, 27)","(50, 22)","(62, 31)","(62, 45)","(40, 51)","(26, 42)",,,,,,,
"(24, 22)","(25, 47)","(39, 54)","(66, 49)","(61, 24)","(46, 17)",,,,,,,
"(26, 27)","(50, 22)","(62, 31)","(62, 45)","(40, 51)","(26, 42)",,,,,,,
"(24, 22)","(25, 47)","(39, 54)","(66, 49)","(61, 24)","(46, 17)",,,,,,,
"(23, 24)","(25, 47)","(39, 54)","(66, 48)","(63, 26)","(44, 17)",,,,,,,
"(24, 22)","(25, 47)","(39, 54)","(66, 48)","(63, 26)","(44, 17)",,,,,,,
"(45, 20)","(62, 31)","(62, 45)","(43, 52)","(27, 43)","(25, 29)",,,,,,,
"(25, 20)","(25, 47)","(40, 55)","(65, 48)","(61, 24)","(46, 17)",,,,,,,
"(45, 20)","(62, 31)","(62, 45)","(43, 52)","(27, 43)","(25, 29)",,,,,,,
"(25, 20)","(25, 47)","(40, 55)","(65, 48)","(61, 24)","(46, 17)",,,,,,,
"(26, 27)","(45, 20)","(58, 27)","(62, 47)","(37, 50)","(26, 42)",,,,,,,
"(26, 27)","(45, 20)","(57, 26)","(62, 47)","(43, 52)","(26, 41)",,,,,,,
"(26, 27)","(48, 21)","(61, 29)","(62, 45)","(38, 50)","(27, 43)",,,,,,,
"(46, 17)","(23, 24)","(24, 46)","(40, 55)","(65, 48)","(64, 28)",,,,,,,
"(45, 20)","(61, 29)","(62, 45)","(43, 52)","(27, 43)","(26, 27)",,,,,,,
"(46, 17)","(23, 24)","(24, 46)","(40, 55)","(65, 48)","(64, 27)",,,,,,,
"(26, 27)","(46, 20)","(61, 29)","(62, 45)","(40, 51)","(26, 42)",,,,,,,
"(23, 23)","(27, 48)","(39, 54)","(65, 50)","(62, 25)","(47, 17)",,,,,,,
